GeneID	Riboseq_control_1	Riboseq_control_2	Riboseq_sample_1	Riboseq_sample_2	RNAseq_control_1	RNAseq_control_2	RNAseq_control_3	RNAseq_sample_1	RNAseq_sample_2	RNAseq_sample_3
A1BG	0	0	26	8	100	124	68	157	132	48
A1BG-AS1	0	0	0	0	50	47	33	61	38	11
A1CF	0	0	0	0	12	15	4	10	9	5
A2M	0	0	0	2	2	2	0	1	3	0
A2M-AS1	0	0	0	0	6	4	3	8	7	4
A2ML1	0	0	0	0	6	2	3	1	4	0
A2MP1	0	0	0	0	0	0	0	0	0	0
A3GALT2	0	0	0	0	1	1	5	4	3	1
A4GALT	0	0	0	0	73	48	47	75	90	26
A4GNT	0	0	0	0	0	3	0	0	0	0
AA06	0	0	0	0	0	0	0	0	0	0
AAAS	24	36	141	94	733	747	805	949	1140	428
AACS	2	32	18	2	500	572	487	583	562	188
AACSP1	0	4	0	0	0	0	0	0	2	0
AADAC	0	0	0	0	0	0	0	1	0	0
AADACL2	0	0	0	0	0	0	0	0	0	0
AADACL2-AS1	0	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	4	0	0	0
AADACP1	0	0	0	0	0	0	0	0	0	0
AADAT	4	8	20	14	316	254	153	256	274	113
AAGAB	46	0	56	74	2273	2462	1871	2306	2476	925
AAK1	50	8	0	10	646	625	449	455	537	215
AAMDC	22	2	4	0	241	227	246	307	355	153
AAMP	29	20	66	195	1515	1357	1523	2216	2142	951
AANAT	0	0	0	0	11	3	1	9	12	2
AAR2	14	8	34	48	306	349	332	476	551	244
AARD	10	0	0	0	66	63	53	62	51	14
AARS1	224	176	416	526	3753	3464	2467	5285	5784	1731
AARS2	44	12	26	101	711	884	873	1050	1164	557
AARSD1	0	0	0	0	1	0	1	2	1	0
AASDH	0	0	0	0	294	214	144	224	212	137
AASDHPPT	4	16	12	43	664	609	640	682	536	448
AASS	42	14	70	36	1513	1378	856	1061	797	785
AATBC	0	2	0	0	88	36	16	91	65	15
AATF	84	96	106	193	2932	2790	2287	4490	4821	1322
AATK	6	2	8	11	160	142	133	207	228	91
ABALON	0	0	0	0	3	16	3	8	7	6
ABAT	0	0	2	0	178	175	173	149	192	64
ABCA1	0	0	0	0	26	17	10	10	8	2
ABCA10	0	0	0	0	19	13	17	14	6	7
ABCA11P	4	0	2	24	157	175	94	194	180	86
ABCA12	0	0	0	0	7	9	6	2	9	5
ABCA13	0	0	0	0	9	2	1	4	0	0
ABCA17P	0	8	0	0	18	13	8	19	20	2
ABCA2	38	54	6	56	592	644	380	841	932	338
ABCA3	68	41	34	78	800	800	634	831	895	378
ABCA4	0	0	0	0	0	0	2	0	3	1
ABCA5	0	6	0	8	638	575	370	327	247	168
ABCA6	0	0	0	0	3	5	0	0	0	0
ABCA7	20	16	0	0	183	171	178	152	208	76
ABCA8	0	0	0	0	17	20	5	13	8	5
ABCA9	0	0	0	0	0	0	4	5	2	0
ABCA9-AS1	0	0	0	0	0	0	0	0	0	0
ABCB1	42	52	52	42	1486	1279	818	1241	996	512
ABCB10	0	16	28	92	691	877	801	796	857	404
ABCB11	0	0	0	0	0	0	1	0	1	0
ABCB4	0	8	16	2	191	143	112	140	115	37
ABCB5	0	0	0	0	4	0	2	0	0	0
ABCB6	18	26	16	14	411	441	270	390	407	149
ABCB7	22	32	44	64	666	776	535	829	742	451
ABCB8	0	2	20	31	302	259	261	396	473	196
ABCB9	8	0	0	4	59	66	66	119	130	45
ABCC1	81	73	60	142	1583	1480	1269	1859	1921	826
ABCC10	4	10	10	70	543	462	460	581	666	221
ABCC11	0	0	0	0	3	0	3	0	1	9
ABCC12	0	0	0	0	0	0	0	0	0	0
ABCC13	0	0	0	0	1	0	0	0	0	0
ABCC2	0	0	0	0	60	42	28	64	46	37
ABCC3	0	0	0	0	0	5	0	2	3	0
ABCC4	56	18	31	52	508	422	367	534	461	330
ABCC5	20	34	50	39	855	734	651	903	941	477
ABCC5-AS1	0	0	0	0	1	0	0	0	0	0
ABCC6	0	0	0	0	27	51	32	68	54	20
ABCC6P1	0	0	0	0	11	6	2	3	12	4
ABCC6P2	0	0	0	0	13	2	5	3	6	6
ABCC8	6	0	0	0	39	44	19	33	23	5
ABCC9	0	0	0	0	1	0	0	2	0	0
ABCD1	0	0	14	0	72	96	98	119	118	57
ABCD2	4	0	13	0	11	31	11	19	8	8
ABCD3	18	27	18	101	538	600	648	533	514	506
ABCD4	8	6	18	26	536	617	399	633	589	236
ABCE1	22	6	68	18	770	873	673	739	623	497
ABCF1	146	92	259	364	2079	2072	2126	3241	3583	1137
ABCF2	0	0	0	0	286	376	345	378	399	209
ABCF3	0	0	20	42	316	339	286	506	579	147
ABCG1	6	26	4	22	33	31	22	22	26	10
ABCG2	0	0	36	2	116	44	63	135	99	55
ABCG4	0	0	0	14	41	56	28	27	27	18
ABCG5	0	0	0	0	0	2	0	0	0	0
ABCG8	0	0	0	0	6	4	0	7	2	2
ABHD1	0	0	0	0	33	57	30	32	39	19
ABHD10	4	2	20	18	352	425	477	398	331	286
ABHD11	8	0	0	28	210	174	204	233	317	117
ABHD11-AS1	0	0	0	0	0	0	2	2	1	1
ABHD12	12	10	16	25	432	323	394	572	700	214
ABHD12B	0	0	0	0	12	14	0	0	1	4
ABHD13	0	44	28	4	233	277	283	298	227	220
ABHD14A	0	0	0	2	33	32	23	29	55	19
ABHD14A-ACY1	0	0	0	0	0	0	0	0	0	0
ABHD14B	8	10	6	50	173	207	165	270	289	122
ABHD15	14	8	4	50	627	734	550	922	729	421
ABHD16A	8	0	62	30	160	217	197	338	357	99
ABHD16B	0	0	0	0	16	29	36	56	57	24
ABHD17A	6	30	17	38	256	321	346	540	637	213
ABHD17B	14	28	40	2	232	272	297	271	353	182
ABHD17C	8	10	2	70	426	478	424	321	395	262
ABHD18	0	0	0	0	241	286	203	184	180	120
ABHD2	34	22	19	102	1603	1641	1651	1600	1533	991
ABHD3	0	2	18	0	488	508	433	397	436	253
ABHD4	0	0	0	20	143	132	140	157	157	69
ABHD5	8	0	0	0	282	241	237	133	168	76
ABHD6	0	1	9	12	107	129	85	117	117	35
ABHD8	48	2	4	48	223	224	290	432	410	198
ABI1	2	0	42	94	985	758	666	887	1019	390
ABI2	50	52	22	24	1447	1311	1248	1166	952	782
ABI3	0	0	0	0	0	0	2	0	2	0
ABI3BP	0	2	0	0	0	9	0	10	2	3
ABITRAM	12	12	12	0	196	202	149	118	138	89
ABL1	20	36	72	72	936	928	1036	1729	1738	796
ABL2	64	19	10	104	1382	1257	853	1561	1532	680
ABLIM1	12	12	22	58	1439	1264	1033	1454	1272	744
ABLIM2	0	16	0	0	9	7	11	9	14	1
ABLIM3	0	0	0	32	19	20	9	34	23	2
ABO	0	0	0	0	1	4	4	0	4	0
ABR	30	48	118	110	1323	1313	1518	2118	2297	865
ABRA	1	0	0	0	0	2	0	2	0	0
ABRACL	43	13	53	73	995	1108	1026	1177	1101	938
ABRAXAS1	0	0	0	28	57	67	58	81	88	20
ABRAXAS2	8	8	8	10	670	526	452	495	470	250
ABT1	63	70	62	72	1192	976	1254	2605	2827	677
ABTB1	0	0	0	12	77	61	77	77	70	40
ABTB2	8	14	30	10	301	298	231	487	517	175
ACAA1	4	18	10	38	171	116	202	251	334	100
ACAA2	28	20	34	96	614	547	719	769	737	491
ACACA	42	36	76	134	2713	2695	2089	3362	3110	1075
ACACB	0	4	0	8	193	148	172	162	180	84
ACAD10	6	16	18	26	317	258	234	440	529	180
ACAD11	0	0	0	0	0	0	0	0	0	0
ACAD8	20	0	0	12	235	257	173	288	253	104
ACAD9	8	0	50	22	268	296	296	486	592	208
ACADL	0	0	0	0	72	72	44	77	71	49
ACADM	10	30	18	26	719	773	677	772	638	452
ACADS	0	4	30	24	103	135	109	153	122	46
ACADSB	2	18	10	38	780	664	625	764	719	511
ACADVL	0	18	84	100	1414	1282	1018	1754	1838	843
ACAN	1	1	0	1	5	4	9	1	4	0
ACAP1	0	0	0	0	87	68	26	70	95	21
ACAP2	8	12	24	30	314	257	353	278	226	289
ACAP3	20	2	16	30	538	474	482	811	841	252
ACAT1	24	20	44	188	645	690	671	855	842	526
ACAT2	8	8	0	64	537	476	570	528	502	263
ACBD3	24	20	82	148	2200	1877	1640	2222	1933	956
ACBD3-AS1	0	0	0	0	2	2	0	2	1	0
ACBD4	22	6	2	22	321	382	275	523	552	221
ACBD5	2	20	12	36	854	745	794	994	829	522
ACBD6	74	70	95	120	609	623	661	1109	977	416
ACBD7	0	0	0	0	348	264	311	161	155	91
ACBD7-DCLRE1CP1	0	0	0	0	0	0	0	0	2	0
ACCS	0	0	0	0	67	80	48	97	124	40
ACCSL	0	0	0	0	0	1	0	2	0	0
ACD	0	8	20	118	208	136	189	252	352	58
ACE	22	0	0	0	118	113	86	146	161	52
ACE2	0	0	0	0	3	6	3	7	10	1
ACER1	0	0	0	0	0	1	0	0	0	0
ACER2	12	8	0	0	47	68	55	34	42	22
ACER3	0	0	2	2	536	527	529	495	354	263
ACHE	0	0	0	0	43	58	39	51	40	6
ACIN1	136	161	156	272	5010	4712	4171	6986	8047	2337
ACKR1	0	0	0	0	0	0	0	0	2	0
ACKR2	0	0	0	0	0	0	0	0	0	0
ACKR3	0	0	0	0	0	0	0	0	1	0
ACKR4	0	0	0	0	24	19	1	31	14	13
ACLY	368	386	489	870	5221	4792	5031	6218	5936	2824
ACMSD	0	0	0	0	3	2	0	1	0	0
ACO1	6	1	6	34	363	266	377	323	266	267
ACO2	0	52	90	104	226	209	156	358	357	134
ACOD1	0	0	0	0	0	0	0	1	0	0
ACOT1	0	22	26	8	157	123	155	194	225	105
ACOT11	0	0	0	0	33	28	15	17	21	4
ACOT12	0	0	0	0	3	6	0	1	0	2
ACOT13	28	34	164	26	452	496	430	479	631	320
ACOT2	12	52	34	43	444	490	588	690	683	321
ACOT4	0	0	0	2	16	8	26	18	20	17
ACOT6	0	0	0	4	7	8	6	1	5	1
ACOT7	68	66	70	150	449	466	609	663	789	309
ACOT8	0	0	8	26	154	113	134	209	273	108
ACOT9	0	18	16	34	542	491	504	644	515	315
ACOX1	20	6	24	24	796	824	704	587	532	310
ACOX2	0	0	0	0	0	0	0	0	0	0
