,logFC.Riboseq_sample-Riboseq_control,adj.P.Val.Riboseq_sample-Riboseq_control,Symbol.Riboseq_sample-Riboseq_control,logFC.RNAseq_sample-RNAseq_control,adj.P.Val.RNAseq_sample-RNAseq_control,Symbol.RNAseq_sample-RNAseq_control,logFC.Riboseq_control-RNAseq_control,adj.P.Val.Riboseq_control-RNAseq_control,Symbol.Riboseq_control-RNAseq_control,logFC.Riboseq_sample-RNAseq_sample,adj.P.Val.Riboseq_sample-RNAseq_sample,Symbol.Riboseq_sample-RNAseq_sample,Riboseq_control,Riboseq_sample,RNAseq_control,RNAseq_sample
A1BG,3.03169049466729,0.00384111257864475,A1BG,-0.0502089658499972,0.999969548839946,A1BG,-0.285029519874078,0.533894965933117,A1BG,2.79686994064321,0.00617953568165461,A1BG,0,5.57714439301297,9.93869642706111,9.225650026967
A1BG-AS1,-0.117668483178799,0.649371766569941,A1BG-AS1,0.352821794070743,0.756865212991456,A1BG-AS1,0.804535416351045,0.0111051544051588,A1BG-AS1,0.334045139101502,0.262881543643331,A1BG-AS1,0,0,3.10897703741976,4.11316744147901
A4GALT,-0.117668483178799,0.631404921190237,A4GALT,-0.00454414309397877,1,A4GALT,0.228027160037218,0.410378211625813,A4GALT,0.114902819952397,0.69964128880958,A4GALT,0,0,5.58833334311356,5.32516984800643
AAAS,0.810560569592437,0.318003657102172,AAAS,-0.134190556918631,0.996391562030057,AAAS,0.103207421151402,0.880818608370536,AAAS,1.04795854766247,0.0492148336505117,AAAS,9.56854488419616,37.2148891951945,76.196037192967,73.3290841031176
AACS,-1.40602444294393,0.399634674713778,AACS,0.289486928367375,0.989079080596218,AACS,0.136754602250469,0.914592795124985,AACS,-1.55875676906084,0.146617989355867,AACS,5.34159023613578,3.37386306093495,39.233820119639,49.7822249945101
AADAT,0.217217227652482,0.846595985338116,AADAT,0.153624783371358,0.998645782309963,AADAT,0.766127105546835,0.338497210924383,AADAT,0.829719549827959,0.303586710419729,AADAT,1.90699354365239,5.370505944435,19.583733629905,22.7188063993068
AAGAB,2.18420486676485,0.279470732570225,AAGAB,0.316788827902372,0.939638316489545,AAGAB,-3.20996313839932,0.0418170770258351,AAGAB,-1.34254709953684,0.199092053390003,AAGAB,7.56756685616293,19.8292856688678,171.485123267433,210.03306521296
AAK1,-3.33854520171895,0.0592952116754612,AAK1,0.59796666412285,0.885067820278109,AAK1,0.811600125738994,0.501652156149828,AAK1,-3.12491174010281,0.00686857726935153,AAK1,9.1455357538952,1.37697385760052,36.8333555166125,54.484089239102
AAMDC,-2.05960497948947,0.218643487161512,AAMDC,-0.351226417410606,0.997024809135366,AAMDC,0.456547000653709,0.76097989953281,AAMDC,-1.25183156142515,0.251247400233391,AAMDC,3.93150716807444,0.688548508758853,25.1069204085244,22.8802321091934
AAMP,1.13323712274175,0.160585424844539,AAMP,-0.211006555788949,0.855727337571093,AAMP,-1.27332252392561,0.0356611713347454,AAMP,0.0709211546050845,0.868545152385278,AAMP,7.8932179953722,38.2120406177313,162.298663566803,140.844430689637
