,logFC.Riboseq_sample-Riboseq_control,adj.P.Val.Riboseq_sample-Riboseq_control,Symbol.Riboseq_sample-Riboseq_control,logFC.RNAseq_sample-RNAseq_control,adj.P.Val.RNAseq_sample-RNAseq_control,Symbol.RNAseq_sample-RNAseq_control,logFC.Riboseq_control-RNAseq_control,adj.P.Val.Riboseq_control-RNAseq_control,Symbol.Riboseq_control-RNAseq_control,logFC.Riboseq_sample-RNAseq_sample,adj.P.Val.Riboseq_sample-RNAseq_sample,Symbol.Riboseq_sample-RNAseq_sample,Riboseq_control,Riboseq_sample,RNAseq_control,RNAseq_sample
A1BG,2.93820256103404,0.00360087146148952,A1BG,-0.168336932851619,1,A1BG,-0.400601548636046,0.552543630717351,A1BG,2.70593794524961,0.0139385538996625,A1BG,0,24.0082657055711,9.15096549587264,7.94670008737917
A1BG-AS1,-0.11727901967834,0.690071832941682,A1BG-AS1,0.690946726986823,0.703098161584462,A1BG-AS1,1.11110101066283,0.0298812951658165,A1BG-AS1,0.302875263997667,0.599768555754743,A1BG-AS1,0,0,2.30004554286103,3.63455326185304
A4GALT,-0.11727901967834,0.607912164071706,A4GALT,-0.0131873433083489,1,A4GALT,0.157370790228843,0.681574131399306,A4GALT,0.053279113858852,0.915683430154152,A4GALT,0,0,5.03517423069458,4.9459348103273
AAAS,0.735471533750416,0.560510870719928,AAAS,-0.135624050983309,1,AAAS,0.11617722137754,0.893964187361547,AAAS,0.987272806111265,0.135699025489604,AAAS,70.8132477457517,154.415026541968,72.8512735977226,70.2444046577104
AACS,-1.26960012688125,0.560962667303564,AACS,0.312812444937282,1,AACS,0.403184434264834,0.792203760963678,AACS,-1.1792281375537,0.3220292246597,AACS,53.356057863566,16.4172222525538,36.5367464478922,46.8508066518868
AADAT,0.0457101669833015,0.968681178509151,AADAT,0.234064420431746,1,AADAT,0.656110484902093,0.402855251077194,AADAT,0.467756231453649,0.629318129690236,AADAT,13.7439766448188,18.3919457912584,18.1502679703666,21.9703314111648
AAGAB,2.35048462388155,0.558974924650871,AAGAB,0.321817540634624,1,AAGAB,-3.40301994984355,0.0347226474272744,AAGAB,-1.37435286659662,0.649875330179772,AAGAB,30.9644086240302,73.5640506257184,157.202261338984,194.496073972904
AAK1,-3.25013583144645,0.157613652211434,AAK1,0.568122933918924,1,AAK1,0.793658321238699,0.651018430224647,AAK1,-3.02460044412667,0.0101486585460456,AAK1,62.402333054009,4.93680884676145,34.5403149989688,51.0577663399018
AAMDC,-1.7121061740403,0.304720600914954,AAMDC,-0.400750918622626,1,AAMDC,0.491067139348379,0.758410370538186,AAMDC,-0.820288116069299,0.551028522966015,AAMDC,26.6593006292273,3.0859720966403,21.5185897823989,19.1759864754208
AAMP,0.892244241962836,0.434436864375478,AAMP,-0.204542138506914,0.858414520055809,AAMP,-1.2366717433237,0.0798624731773832,AAMP,-0.139885362853949,0.85172572690487,AAMP,61.1376211927614,135.336104604528,165.985204866999,145.157112763212
