,logFC.RNAseq_sample-RNAseq_control,AveExpr.RNAseq_sample-RNAseq_control,t.RNAseq_sample-RNAseq_control,P.Value.RNAseq_sample-RNAseq_control,adj.P.Val.RNAseq_sample-RNAseq_control,B.RNAseq_sample-RNAseq_control,Symbol.RNAseq_sample-RNAseq_control
A1BG,-0.0502089658499972,1.37519536293788,-0.11963407600496,0.907456802119973,0.999969548839946,-5.64157406706186,A1BG
A1BG-AS1,0.352821794070743,0.227741901628894,1.52545048422598,0.16221141085508,0.756865212991456,-4.91085627234514,A1BG-AS1
A4GALT,-0.00454414309397877,0.450576242913096,-0.0183602713075027,0.985760547198077,1,-5.82150415745777,A4GALT
AAAS,-0.134190556918631,5.38590845326987,-0.503991790957969,0.626629364937355,0.996391562030057,-6.07562353606614,AAAS
AACS,0.289486928367375,3.98849303246078,0.611460459278719,0.556342609425951,0.989079080596218,-5.78571277693331,AACS
AADAT,0.153624783371358,3.15712015831271,0.326062396763055,0.751989187418358,0.998645782309963,-5.51845893624297,AADAT
AAGAB,0.316788827902372,5.6686876466886,0.875597642291699,0.404490207096572,0.939638316489545,-6.12692420481496,AAGAB
AAK1,0.59796666412285,3.89230095727774,1.07231329371432,0.312074487133052,0.885067820278109,-5.4175028233189,AAK1
AAMDC,-0.351226417410606,2.95453400693242,-0.439774877172416,0.67069101498411,0.997024809135366,-5.54317559685798,AAMDC
AAMP,-0.211006555788949,5.98668115337323,-1.19494191127654,0.26328715001002,0.855727337571093,-5.73730885100737,AAMP
AAR2,-0.454502452561463,4.12757377192069,-1.8334478389867,0.10066393041729,0.670082245047107,-4.41470679764575,AAR2
AARD,0.484803115856121,0.705441132052294,0.787977817252162,0.451390547671396,0.960023194857039,-5.56810542415386,AARD
AARS1,-0.332936411773892,7.65473331626489,-1.93902779728216,0.0851398810268543,0.636323811110442,-5.00610920819524,AARS1
AARS2,-0.18310325139654,5.21698031369013,-0.68955965283759,0.508225878376689,0.97631634337768,-6.00122016225669,AARS2
AASDH,0.171517962435288,1.73666982969256,0.373073027456254,0.717912552613085,0.998645782309963,-5.46131157597171,AASDH
AASDHPPT,0.243362696934352,4.45004861587874,0.851186259998586,0.41720203669306,0.944084485849145,-5.7347425996512,AASDHPPT
AASS,0.563471070587133,5.40965652136663,1.71269541015714,0.121650309578996,0.701003702300515,-4.95870516747824,AASS
AATBC,-0.0884654613859988,0.519304187837968,-0.163340576671705,0.873935947629536,0.999969548839946,-5.90672606332603,AATBC
AATF,-0.327918316110216,6.94697809562053,-1.83298196533168,0.100737984614836,0.670082245047107,-5.09945739199849,AATF
AATK,-0.64915243555943,1.71902307371632,-0.598947208888334,0.564290250144558,0.991222983336287,-5.34155999632012,AATK
