,logFC.Riboseq_control-RNAseq_control,AveExpr.Riboseq_control-RNAseq_control,t.Riboseq_control-RNAseq_control,P.Value.Riboseq_control-RNAseq_control,adj.P.Val.Riboseq_control-RNAseq_control,B.Riboseq_control-RNAseq_control,Symbol.Riboseq_control-RNAseq_control
A1BG,-0.400601548636046,2.57460177978903,-0.978520475027598,0.357496686688738,0.552543630717351,-6.30792755628019,A1BG
A1BG-AS1,1.11110101066283,1.40817999102428,3.92006608191072,0.00474378609836559,0.0298812951658165,-2.28248650722432,A1BG-AS1
A4GALT,0.157370790228843,1.72274238428155,0.691715416139215,0.509390793696179,0.681574131399306,-6.58334077912724,A4GALT
AAAS,0.11617722137754,6.32950952004106,0.24799532404135,0.810610160879656,0.893964187361547,-6.57098904834534,AAAS
AACS,0.403184434264834,4.99224916245711,0.458399151544139,0.659300253058507,0.792203760963678,-6.62751442467335,AACS
AADAT,0.656110484902093,4.09303115112458,1.33963872955054,0.218477409301691,0.402855251077194,-5.94596552439726,AADAT
AAGAB,-3.40301994984355,6.5105569708973,-3.76664440303211,0.00586664388062337,0.0347226474272744,-2.76113533349696,AAGAB
AAK1,0.793658321238699,4.86190053694839,0.755792347223395,0.472214272101955,0.651018430224647,-6.34716437710108,AAK1
AAMDC,0.491067139348379,3.85233366095175,0.527905197950098,0.612404748715211,0.758410370538186,-6.69569211316124,AAMDC
AAMP,-1.2366717433237,6.9685080405168,-2.94568070727757,0.019304311719331,0.0798624731773832,-3.43785884107013,AAMP
AAR2,-0.0475478086610526,5.07407269071273,-0.183080618714118,0.859453851130525,0.922785396543195,-6.83226618761315,AAR2
AARD,1.92485424498383,1.98676692778751,1.45980828493858,0.183826053505629,0.35848192805444,-5.79499467312972,AARD
AARS1,0.358805041775234,8.59178502382743,0.976096072540352,0.358622929078319,0.553426726183727,-6.55805546442442,AARS1
AARS2,-0.292471727736416,6.12078870739922,-0.559352715100893,0.591782136177866,0.744242137259435,-6.48258991464598,AARS2
AASDH,-1.66511693275937,2.91459083765161,-6.78107843414614,0.000165994054135602,0.00251255428216796,1.22709066914144,AASDH
AASDHPPT,-0.724113029316764,5.28824749949357,-1.36562697420331,0.21053477047574,0.392792999508231,-6.04426969860136,AASDHPPT
AASS,-0.393342250806859,6.28923785983206,-0.554400733279938,0.59500399679105,0.746253688132082,-6.51805940843782,AASS
AATBC,1.19156533283527,1.75795967384584,1.2851293500551,0.235979212431738,0.424703697982261,-6.02223792708932,AATBC
AATF,-0.635378669014495,7.95460364711192,-1.24072995951913,0.251103753570771,0.440385610365759,-5.95002861151096,AATF
AATK,-0.758496654480096,3.01740239865196,-0.766274458231418,0.46630724943479,0.646404196914939,-6.67954188427272,AATK
ABAT,-0.787412274992954,2.61611035506882,-1.14432456657029,0.286745199431937,0.480138338648417,-6.16237350377382,ABAT
ABCA11P,-0.777669544842988,3.37436719786949,-0.796458071206278,0.449575325395783,0.63263331078277,-6.72976001708189,ABCA11P
ABCA2,0.963711398232324,5.73179749497061,1.54395934542498,0.162556740345988,0.331854087105984,-5.433735903568,ABCA2
ABCA3,1.00746042819496,6.13105482365206,2.70639931937617,0.0277106314521369,0.102283996595976,-3.75022693515732,ABCA3
ABCA5,-0.568967399005376,3.97696994815185,-0.496250014374096,0.633543848528897,0.773235469585357,-6.94159312984394,ABCA5
ABCA7,3.04430768622868,3.2362599412696,8.06376092477643,5.06222794533333e-05,0.000978855738759159,2.53220295775249,ABCA7
ABCB1,0.494475829062209,6.40297026148787,0.978130918306793,0.357677472185004,0.552704610205537,-6.09060998693285,ABCB1
ABCB10,-2.5367410097168,5.81973367140865,-2.98637669868039,0.0181628031975837,0.0768774753888337,-3.96925868809123,ABCB10
ABCB4,1.67494129045236,3.1166695741292,1.12259821878655,0.295323655449136,0.489998128577616,-6.10825044334797,ABCB4
ABCB6,1.27199608803913,4.90913353342586,2.78394193318989,0.0246342024716044,0.094361222663881,-3.65985647782156,ABCB6
ABCB7,0.279045208835106,5.92680323991461,0.765640041792874,0.466663356115864,0.646587244569339,-6.30409883273786,ABCB7
ABCB8,-0.507167621095228,4.51707938845436,-1.04577748903021,0.327316877609018,0.522663703455221,-6.42507244681974,ABCB8
ABCB9,1.10431645223007,2.31541974137852,0.730662113062678,0.486576929867163,0.662310843879579,-6.49888787216082,ABCB9
ABCC1,0.264705357654916,6.98446355722059,0.877047848899949,0.406938743075409,0.597509177554981,-6.22574947711995,ABCC1
ABCC10,-0.671586002288754,5.13990127192648,-1.7564055467045,0.118470958343095,0.269549459637089,-5.52298789995942,ABCC10
ABCC2,0.1368253131355,1.62121553484155,0.58593630005359,0.574652878508631,0.731694569025246,-6.66264228179339,ABCC2
ABCC4,1.25008743873161,5.4639640959223,2.79883155414463,0.0240851113053101,0.0930194727119406,-3.60502359797757,ABCC4
ABCC5,0.0955779358519147,5.98921205361833,0.276897100618806,0.789132066493555,0.880413214972162,-6.58080765198931,ABCC5
ABCC6,1.37983926500052,1.63593276116177,1.5841665634249,0.153201905832749,0.319586043620738,-5.68064188595599,ABCC6
ABCC8,2.48481184380317,1.51436221304415,2.39791163589871,0.0444182533500982,0.140688815491774,-4.63789908081284,ABCC8
ABCD1,-0.3623492745815,2.28877428139072,-0.377587895156503,0.715911164731468,0.832287117283319,-6.73185063814138,ABCD1
ABCD2,2.43615756061175,1.49963839497273,2.15433653148562,0.0645889428742904,0.180351432629044,-5.09227320116922,ABCD2
ABCD3,0.488044291001076,5.71096179829781,0.793694618566528,0.451090016074371,0.633713817868407,-6.30872508716892,ABCD3
ABCD4,-0.484651718268684,4.98329330282087,-1.76357312544381,0.117198916869079,0.267541442607447,-5.4934467250433,ABCD4
ABCE1,-0.668636572060849,5.97637734428815,-1.41701876869075,0.195565998543989,0.374143173607034,-5.80298221249921,ABCE1
ABCF1,0.273268119729779,7.91758546521655,0.745939545810964,0.477811722693227,0.655112071081627,-6.51533485570502,ABCF1
ABCF2,-2.64733574921031,3.42411657660487,-14.6095765008503,6.73369868168592e-07,4.01378526790576e-05,6.8138062495175,ABCF2
ABCF3,-3.13785999692149,4.17106734584703,-11.6312833727726,3.64888831179489e-06,0.000136714841292575,5.09347630192948,ABCF3
ABCG1,6.29898174972854,3.03588125183478,18.7414018989697,1.03377257335368e-07,9.62075443266244e-06,7.16596330750523,ABCG1
ABCG2,-0.337446818312091,2.4426430520653,-0.473125482899851,0.649218862204373,0.78488980817777,-6.68725277100595,ABCG2
ABCG4,0.683060048409647,1.69996321775988,0.912231298942659,0.389260116350842,0.581051291441929,-6.50587946046426,ABCG4
ABHD1,0.581493728590622,1.50710366453974,2.78743022701027,0.0245044102652761,0.094035246602069,-3.92537661134659,ABHD1
ABHD10,-0.922183637908859,4.72752651464239,-2.71871215308996,0.027196797813214,0.101258392680464,-4.2191759483387,ABHD10
ABHD11,-0.688532891878197,3.56147767964565,-0.538856423113063,0.605179719198915,0.753731432347121,-6.90105650418454,ABHD11
ABHD12,-0.241232559110315,5.03458709882412,-0.779148222672595,0.459120326163187,0.640503936644485,-6.52368509547527,ABHD12
ABHD13,0.386136273111664,4.26593339556959,0.287336309634174,0.781420374440207,0.87504224242612,-6.87672124174988,ABHD13
