,logFC.Riboseq_sample-RNAseq_sample,AveExpr.Riboseq_sample-RNAseq_sample,t.Riboseq_sample-RNAseq_sample,P.Value.Riboseq_sample-RNAseq_sample,adj.P.Val.Riboseq_sample-RNAseq_sample,B.Riboseq_sample-RNAseq_sample,Symbol.Riboseq_sample-RNAseq_sample
A1BG,2.70593794524961,2.57460177978903,4.85834510570924,0.0013953048063163,0.0139385538996625,-0.677073200169469,A1BG
A1BG-AS1,0.302875263997667,1.40817999102428,0.909885153691116,0.390421264369985,0.599768555754743,-6.37141694578187,A1BG-AS1
A4GALT,0.053279113858852,1.72274238428155,0.223556228256456,0.828907745646649,0.915683430154152,-6.75231805586552,A4GALT
AAAS,0.987272806111265,6.32950952004106,2.48372370699552,0.0389373427096051,0.135699025489604,-4.23643721050041,AAAS
AACS,-1.1792281375537,4.99224916245711,-1.63262783211056,0.142581698597777,0.3220292246597,-5.64239644939043,AACS
AADAT,0.467756231453649,4.09303115112458,0.848094601217203,0.42191389388977,0.629318129690236,-6.32975706920032,AADAT
AAGAB,-1.37435286659662,6.5105569708973,-0.803834639618597,0.445549143433679,0.649875330179772,-6.27778416379643,AAGAB
AAK1,-3.02460044412667,4.86190053694839,-5.23410274791813,0.000886016868667622,0.0101486585460456,-0.703990652920692,AAK1
AAMDC,-0.820288116069299,3.85233366095175,-1.02121712994504,0.338100459203915,0.551028522966015,-6.42989949842564,AAMDC
AAMP,-0.139885362853949,6.9685080405168,-0.370464164046494,0.720999851038847,0.85172572690487,-6.65283679700372,AAMP
AAR2,1.11548922384727,5.07407269071273,3.17466802896186,0.0137312953594951,0.0674868604976887,-3.01094979271461,AAR2
AARD,-0.0735858999176766,1.98676692778751,-0.052719558616413,0.959294666587369,0.981823865866525,-6.77012284235129,AARD
AARS1,0.737744961551218,8.59178502382743,2.53562718810247,0.0359608777211099,0.128527170745047,-4.65303090445877,AARS1
AARS2,0.00172100328481051,6.12078870739922,0.00313329398789971,0.99757948893925,0.999028300417229,-6.58812034935378,AARS2
AASDH,-2.05864257798023,2.91459083765161,-8.5494337944773,3.35817724481529e-05,0.000954396828380435,2.89688656219967,AASDH
AASDHPPT,-0.691985214360067,5.28824749949357,-0.946610099941606,0.372535534562848,0.583450024715936,-6.17457959906199,AASDHPPT
AASS,-0.752076723237891,6.28923785983206,-0.984389692966505,0.354781276881962,0.566850118146997,-6.09082738032523,AASS
AATBC,0.427848024442501,1.75795967384584,0.455938724449879,0.66099198877919,0.81368914816008,-6.71448915785601,AATBC
AATF,-0.649097801803336,7.95460364711192,-1.49747617366176,0.174014664311971,0.366925580314338,-5.78016510213407,AATF
AATK,-0.587479566202126,3.01740239865196,-0.49695167917059,0.633071251279665,0.795061345654207,-6.66850347952704,AATK
ABAT,-0.601363601489963,2.61611035506882,-0.930901145111518,0.380110270001243,0.590913961069935,-6.42426784742764,ABAT
ABCA11P,-0.0255249183617416,3.37436719786949,-0.0197713465037646,0.984727468984642,0.993537670485901,-6.7781548908934,ABCA11P
ABCA2,-0.690358893135636,5.73179749497061,-1.22745217895316,0.255782177908289,0.465552131434466,-5.90382537950763,ABCA2
ABCA3,0.112360268017705,6.13105482365206,0.307901991836183,0.766304303689985,0.879600507736773,-6.53274605678129,ABCA3
ABCA5,-2.85602894963825,3.97696994815185,-2.94885277663651,0.0192126992409106,0.0849037214910365,-3.96494278458063,ABCA5
ABCA7,-1.57435493800368,3.2362599412696,-6.45902460962704,0.000229700196723132,0.00391817366933419,0.956371501349384,ABCA7
ABCB1,-0.999862603711048,6.40297026148787,-2.01305568008104,0.0802142979816159,0.21956690016797,-4.79340563661749,ABCB1
ABCB10,-0.384330068905042,5.81973367140865,-0.227313579701935,0.826087004465573,0.914508063170927,-6.56755060261848,ABCB10
ABCB4,1.96971353026807,3.1166695741292,1.05216163704501,0.324558214895109,0.537638062685111,-5.94769144668312,ABCB4
ABCB6,-0.249059262169725,4.90913353342586,-0.620866090612609,0.552581738460151,0.734112320619605,-6.51592083625406,ABCB6
ABCB7,0.365279946543613,5.92680323991461,0.98200340063012,0.355883406705986,0.567626950656109,-6.07800078287836,ABCB7
ABCB8,0.224725146105412,4.51707938845436,0.358090729615371,0.729873894348734,0.857154679311282,-6.65537041159605,ABCB8
ABCB9,0.469649903223364,2.31541974137852,0.304283064439718,0.768956726840251,0.881085618338201,-6.69817098702027,ABCB9
ABCC1,-0.246069713647824,6.98446355722059,-0.868691211376629,0.411221389783145,0.619386921543476,-6.27842356761098,ABCC1
ABCC10,-0.113534264077624,5.13990127192648,-0.205784322515362,0.842284923781658,0.922968704462961,-6.57194427020864,ABCC10
ABCC2,0.333893926384891,1.62121553484155,1.40200089068554,0.199840577139449,0.398713737930366,-5.83837999130613,ABCC2
ABCC4,0.715230239615065,5.4639640959223,1.59026884957507,0.151825821656045,0.336155758541722,-5.34504611993671,ABCC4
ABCC5,-0.0981544855923229,5.98921205361833,-0.27601277521904,0.789786497855523,0.892982460539733,-6.5354713588128,ABCC5
ABCC6,0.574044862808697,1.63593276116177,0.653989111317304,0.532122137139652,0.719522106134185,-6.63684054475473,ABCC6
ABCC8,0.548244900753628,1.51436221304415,0.448481537629226,0.666132112657455,0.816740818111669,-6.74912861385094,ABCC8
ABCD1,1.58720096843124,2.28877428139072,1.45978178856292,0.183833125299292,0.380076369849832,-5.62715287985109,ABCD1
ABCD2,2.83872640257096,1.49963839497273,2.02727787879935,0.07848708187639,0.216684431783144,-5.06176006721685,ABCD2
