,logFC.Riboseq_sample-Riboseq_control,AveExpr.Riboseq_sample-Riboseq_control,t.Riboseq_sample-Riboseq_control,P.Value.Riboseq_sample-Riboseq_control,adj.P.Val.Riboseq_sample-Riboseq_control,B.Riboseq_sample-Riboseq_control,Symbol.Riboseq_sample-Riboseq_control
A1BG,2.93820256103404,2.57460177978903,7.14941877977672,0.000116076619035884,0.00360087146148952,1.74548776956014,A1BG
A1BG-AS1,-0.11727901967834,1.40817999102428,-0.737006667853132,0.482924170649071,0.690071832941682,-7.14678824512368,A1BG-AS1
A4GALT,-0.11727901967834,1.72274238428155,-1.06104742981343,0.320748924276378,0.607912164071706,-6.85081995131405,A4GALT
AAAS,0.735471533750416,6.32950952004106,1.27130955231055,0.240601962668824,0.560510870719928,-5.48625662022365,AAAS
AACS,-1.26960012688125,4.99224916245711,-1.27015877481799,0.240990339638141,0.560962667303564,-5.69381842314006,AACS
AADAT,0.0457101669833015,4.09303115112458,0.0815864533435863,0.937052143148471,0.968681178509151,-6.59327558784861,AADAT
AAGAB,2.35048462388155,6.5105569708973,1.27568868125835,0.239128891509222,0.558974924650871,-5.63774081445478,AAGAB
AAK1,-3.25013583144645,4.86190053694839,-3.11528882792895,0.0149910523975104,0.157613652211434,-3.10434209718047,AAK1
AAMDC,-1.7121061740403,3.85233366095175,-2.05134373253563,0.0756467571491473,0.304720600914954,-4.96868514902832,AAMDC
AAMP,0.892244241962836,6.9685080405168,1.63915982303346,0.141203196514116,0.434436864375478,-5.02266993556318,AAMP
AAR2,0.737277405183635,5.07407269071273,1.88594499225864,0.0973800983580959,0.35288476272052,-4.74340456931416,AAR2
AARD,-1.6050961764319,1.98676692778751,-2.19103408190646,0.0610477321051901,0.280568677520866,-5.2141560764544,AARD
AARS1,0.1136300006269,8.59178502382743,0.257582336195558,0.803465555980331,0.893601864203576,-6.72708452417584,AARS1
AARS2,0.185518250318198,6.12078870739922,0.257579957733182,0.803467326081135,0.893601864203576,-6.18989471609374,AARS2
AASDH,-0.11727901967834,2.91459083765161,-0.809947726533307,0.442231373922069,0.664748857188365,-7.08786679453568,AASDH
AASDHPPT,0.370295996182833,5.28824749949357,0.452269732116777,0.663518584826532,0.808541438668233,-6.32345650962911,AASDHPPT
AASS,0.210960310741135,6.28923785983206,0.211965543982149,0.837625752225667,0.915270387207587,-6.21585749884163,AASS
AATBC,-0.997102877763894,1.75795967384584,-2.1804411597868,0.0620496795246724,0.282088442213489,-5.35918307930811,AATBC
AATF,-0.279571454965204,7.95460364711192,-0.429684719391415,0.679172076159957,0.819088947666559,-6.28011810987711,AATF
AATK,-0.292374001730077,3.01740239865196,-0.436099762565322,0.67470844267925,0.815559101650716,-7.16051397292651,AATK
ABAT,0.825238706764465,2.61611035506882,2.26230554816948,0.0547122801769443,0.274895381940934,-5.14425988668401,ABAT
ABCA11P,0.35321596417432,3.37436719786949,0.403362386754967,0.697628004245541,0.83105821795705,-6.97196884494698,ABCA11P
ABCA2,-2.08371032826975,5.73179749497061,-2.65131044968206,0.0301350461433796,0.22465015019031,-3.56487587312246,ABCA2
ABCA3,-0.741067137994105,6.13105482365206,-1.50046666689882,0.173256196743581,0.479145060971272,-5.12836735788242,ABCA3
ABCA5,-0.946884620380896,3.97696994815185,-1.03579620757357,0.331666552316648,0.60836494061994,-6.62114277404687,ABCA5
ABCA7,-3.92278240325478,3.2362599412696,-13.3112818582506,1.34711329489311e-06,0.000307316162988082,5.76954098259469,ABCA7
ABCB1,-1.05647078195842,6.40297026148787,-1.55511976679061,0.15990935777076,0.460877619549094,-5.0559753972889,ABCB1
ABCB10,2.34972694653363,5.81973367140865,1.33702275891549,0.219291092552669,0.538288729925363,-5.57495321081651,ABCB10
ABCB4,1.12017512663499,3.1166695741292,0.738887340459203,0.481844861241929,0.689613267528012,-6.33333840379512,ABCB4
ABCB6,-1.20962650258614,4.90913353342586,-2.24346034363464,0.0563207803404741,0.276192735243436,-4.23458722303874,ABCB6
ABCB7,-0.0023847492619895,5.92680323991461,-0.00485477712066748,0.996249630152514,0.998220519721764,-6.21195906752126,ABCB7
ABCB8,0.248306640209159,4.51707938845436,0.381662580660496,0.713007299702296,0.840975494538481,-6.51085712184974,ABCB8
ABCB9,-0.978777807920064,2.31541974137852,-1.17032638220714,0.276745936200301,0.601151099228207,-6.54802972860437,ABCB9
ABCC1,-0.514960272305408,6.98446355722059,-1.2935976102146,0.233184043884193,0.55350992809437,-5.42668237206245,ABCC1
ABCC10,0.646368393560333,5.13990127192648,1.07006154812807,0.316920627233014,0.607912164071706,-5.82168129278693,ABCC10
ABCC2,-0.11727901967834,1.62121553484155,-1.02571968438125,0.336103201280655,0.610461933829444,-6.88716805546647,ABCC2
ABCC4,-0.583258883514877,5.4639640959223,-0.993633369707629,0.350536489663349,0.616534996755789,-5.69290388983143,ABCC4
ABCC5,-0.217886433994266,5.98921205361833,-0.46397009817417,0.655477553769555,0.80374500413365,-6.09345798004357,ABCC5
ABCC6,-0.997102877763894,1.63593276116177,-2.2377595075662,0.0568165995059726,0.276192735243436,-5.27205023398612,ABCC6
ABCC8,-1.36964838844261,1.51436221304415,-2.09680870292646,0.070552940823451,0.297618357044911,-5.42591090034596,ABCC8
ABCD1,1.80793531480887,2.28877428139072,2.83473934535832,0.0228125087658524,0.201055170657297,-4.01857389519654,ABCD1
ABCD2,0.503393941856343,1.49963839497273,0.51041097568258,0.624041021657409,0.782863510071662,-7.00272006613807,ABCD2
ABCD3,-0.0114713724103455,5.71096179829781,-0.0136620505791482,0.989446236527503,0.996283816969792,-6.226142537816,ABCD3
ABCD4,0.427248244405568,4.98329330282087,1.04630513990624,0.327088181113574,0.607912164071706,-5.88439349302669,ABCD4
ABCE1,0.46054207189805,5.97637734428815,0.655253878569522,0.531350135615901,0.721081406962095,-6.06352264985594,ABCE1
ABCF1,0.345079671406285,7.91758546521655,0.810379293426375,0.44199779303912,0.664748857188365,-6.20200317765139,ABCF1
ABCF2,-0.11727901967834,3.42411657660487,-0.89513338579878,0.397780176306463,0.638952541611336,-7.01318289126422,ABCF2
