,Riboseq_control_1,Riboseq_control_2,RNAseq_control_1,RNAseq_control_2,RNAseq_control_3,Riboseq_sample_1,Riboseq_sample_2,RNAseq_sample_1,RNAseq_sample_2,RNAseq_sample_3
A1BG,0,0,12.014260391417,9.86822259630096,7.93360629346542,8.95113061386509,2.20315817216084,9.01835885348522,11.524188202261,7.13440302515475
A1BG-AS1,0,0,4.66796104379894,2.84085195954118,1.81811810891916,0,0,4.50917942674261,4.36803907666345,3.46228382103098
A4GALT,0,0,5.73929636532657,6.72833358838702,4.2973700756271,0,0,6.58340196304421,4.46097607829459,4.93113150268049
AAAS,7.89659150208306,11.2404982663093,72.6212300092655,85.2255587862355,70.7413227834,48.5426698674992,25.8871085228899,66.1045703960466,69.4239402184596,84.4587416948467
AACS,1.31609858368051,9.36708188859105,44.6134637464719,42.0147052963722,31.0732913160729,6.19693657882968,0.55078954304021,45.0917942674261,53.1599649330105,51.0949157830936
AADAT,1.31609858368051,2.49788850362428,19.590131593648,20.4840378135338,18.6770314825332,6.88548508758853,3.85552680128147,28.4980139770133,23.6059984143089,16.0524068065982
AAGAB,15.1351337123259,0,176.464232245908,185.103932942736,152.887204613657,19.2793582452479,20.3792130924878,204.987296739719,228.81089801586,196.301000883302
AAK1,15.7931830041661,2.49788850362428,34.8183979496479,40.1457237440425,35.5359448561472,0,2.75394771520105,58.2585981935145,58.0856260194608,47.1080435043306
AAMDC,7.2385422102428,0.62447212590607,23.4928531220701,26.5395380430821,25.288370060421,1.37709701751771,0,21.7342448368994,21.0966993702682,25.8097521204128
AAMP,9.54171473168369,6.2447212590607,169.577076607516,160.134339403611,157.184574689284,22.7221007890422,53.7019804464204,136.628136630301,126.115511213453,159.789644225157
AAR2,4.60634504288178,2.49788850362428,36.4254009319393,41.1923534133472,40.3291653251159,11.7053246489005,13.218949032965,27.5961780916648,32.4350135692669,34.8326735934026
AARD,3.29024645920127,0,4.74448499533663,3.81272236675264,2.31396850226075,0,0,5.95211684330024,5.85503110276165,5.56063765195885
AARS1,73.7015206861085,54.9535470797342,404.429083876679,432.407571947006,286.105676958097,143.218089821842,144.857649819575,338.4590077713,321.93377365026,258.831945044953
AARS2,13.8190351286453,3.74683275543642,80.350149114572,87.0197810764721,92.0628896970883,8.95113061386509,27.8148719235306,64.1205314482799,82.1563094419254,91.5931447200014
AASDH,0,0,17.141365144442,15.8489635637561,22.6438346292659,0,0,26.5139750292465,19.8885183490634,15.1081475826806
AASDHPPT,1.31609858368051,4.99577700724856,52.1893349487029,40.0709644819493,74.0469920723439,4.13129105255312,11.8419751753645,59.8819027871418,56.5986339933626,67.1473225896918
AASS,13.8190351286453,4.37130488134249,81.1919125814865,59.5831318882717,129.747519591049,24.0991978065599,9.91421177472377,136.447769453231,128.067188247707,89.8095439637127
AATBC,0,0.62447212590607,6.96367958992957,4.85935203605729,2.47925196670794,0,0,7.93615579106699,3.34573205872094,1.67868306474229
AATF,27.6380702572907,29.9746620434914,343.592542404217,360.414402551264,218.504739999193,36.4930709642192,53.1511909033802,264.418281584187,259.294234550873,239.946760566602
AATK,0,0.62447212590607,15.8404579683013,17.0451117572471,15.0407952646949,0,3.02934248672115,14.4293741655763,13.1970542316215,13.9540529756703
ABAT,0,0,11.4020687791154,14.3537783218923,10.5781417246206,0.688548508758853,0,16.0526787592037,16.263975285449,18.1507606375261
ABCA11P,0,0,14.8456465983114,13.456667176774,14.2143779424589,0.688548508758853,5.5078954304021,14.1588233999718,16.263975285449,9.86226300536098
ABCA2,12.5029365449648,16.8607473994639,64.3566432431953,69.6756322708522,55.8658109831523,2.06564552627656,15.4221072051259,53.3886844126325,59.8514290504524,39.8687227876295
ABCA3,22.3736759225687,12.8016785810744,63.5914037278184,66.9095395734042,62.4771495610402,11.7053246489005,21.4807921785682,72.1468708278817,74.3496013049099,66.5178164404134
ABCA5,0,1.87341637771821,25.0233321528238,18.4655377370177,27.767622027129,0,2.20315817216084,57.5371294852357,53.438775937904,38.8195458721656
ABCA7,6.58049291840255,4.99577700724856,11.6316406337285,15.5499265153833,12.5615432979869,0,0,16.5035967018779,15.8922272789245,18.675349095258
ABCB1,13.8190351286453,16.2362752735578,94.9662238582703,74.4602250448163,84.6251337969645,17.2137127189713,10.465001317764,134.01281256279,118.866425086225,85.8226716849498
ABCB10,0,4.99577700724856,60.9130654239993,64.068687613863,66.7745196366673,9.63967912262395,25.3363189798496,62.3168596775828,81.5057504305074,84.0390709286611
ABCB4,0,2.49788850362428,10.7133532152763,8.59731514071674,6.11548818454626,6.19693657882968,1.65236862912063,17.2250654101568,13.2899912332526,11.7507814531961
ABCB6,5.92244362656229,8.11813763677891,29.8443410996982,30.4270196719279,24.6272362026322,5.50838807007083,3.85552680128147,37.0654548878242,40.9852177193316,28.3277767175262
ABCB7,7.2385422102428,9.99155401449712,63.438355824743,55.4713724731463,74.5428424656855,15.1480671926948,17.6252653772867,60.0622699642115,72.1191132657626,56.1309649773205
ABCB8,0,0.62447212590607,30.3034848089243,35.3611309700784,32.3955590316505,6.88548508758853,8.53723791712325,27.2354437375254,24.0706834224646,27.3835174936087
ABCB9,2.63219716736102,0,9.10635023298482,9.71870407211458,7.43775590012383,0,1.10157908608042,5.32083172355628,6.13384210765506,6.92456764206196
ABCC1,26.3219716736102,22.1687604696655,142.258025908561,143.612542481016,136.524141633384,20.6564552627656,38.8306627843348,142.760620650671,137.546762414083,133.140550572373
ABCC10,1.31609858368051,3.12236062953035,44.4604158433965,49.7896685540639,36.5276456428304,3.44274254379427,19.2776340064073,48.9696885744247,42.9368947535854,48.262138111341
ABCC2,0,0,4.89753289841201,3.4389260562867,6.11548818454626,0,0,5.41101531209113,3.90335406850777,2.93769536329902
ABCC4,18.4253801715271,5.62024913315463,40.8637901211252,34.4640198249602,54.5435432675748,10.6725018857622,14.3205281190454,45.8132629757049,39.2194146883399,38.5047927975264
ABCC5,6.58049291840255,10.6160261404032,69.1011282385319,70.3484656296909,78.8402125413126,17.2137127189713,10.7403960892841,77.1069681972986,68.2157591972548,68.3014171967021
ABCC6,0,0,5.20362870456276,4.03700015303221,3.30566928894392,0,0,2.43495689044101,4.739787083188,3.35736612948459
ABCC8,1.97414787552076,0,2.52529040074369,1.71946302814335,0.826417322235981,0,0,3.51715995285923,4.08922807177004,1.99343613938147
ABCD1,0,0,9.10635023298482,8.82159292699631,9.42115747349019,4.81983956131197,0,6.49321837450936,8.92195215658918,10.2819337715466
ABCD3,5.92244362656229,8.43037369973194,40.7872661695875,38.4262607158992,83.6334330102813,6.19693657882968,27.8148719235306,48.5187706317505,55.7622009786824,67.9866641220629
ABCD4,2.63219716736102,1.87341637771821,48.4396613233562,44.0332053728884,39.0068976095383,6.19693657882968,7.16026405952272,48.3384034546808,57.3421300064117,41.862158927011
ABCE1,5.92244362656229,1.24894425181214,56.5512001863511,46.5750202840568,82.1458818302565,23.410649297801,6.60947451648251,69.4413631718362,81.1340024239829,70.6096064107228
ABCF1,46.7214997206581,28.7257177916792,248.014126933645,267.862436079896,187.927299076462,89.8555803930304,100.243696833318,187.491680563958,192.565467379717,223.055012227632
ABCF2,0,0,28.9260536812459,29.8289455751824,34.544244069464,0,0,25.7925063209677,34.9443126133076,36.1966035835057
ABCF3,0,0,38.7211194780699,43.2856127519565,24.2966692737378,6.88548508758853,11.5665804038444,28.4980139770133,31.5056435529556,30.0064597822685
ABCG1,4.60634504288178,4.37130488134249,1.68352693382913,1.94374081442292,1.65283464447196,4.81983956131197,4.95710588736189,2.97605842165012,2.88104705056526,2.30818921402065
ABCG2,0,0,10.3307334575878,7.40116694722572,9.09059054459579,12.3938731576594,0.55078954304021,10.4612962700429,4.08922807177004,6.60981456742278
ABCG4,0,0,2.06614669151756,2.0185000765161,2.97510236004953,0,3.85552680128147,3.69752712992894,5.20447209134369,2.93769536329902
ABHD1,0,0,2.448766449206,2.91561122163437,3.14038582449673,0,0,2.97605842165012,5.29740909297483,3.1475307463918
ABHD10,1.31609858368051,0.62447212590607,30.4565327119997,24.7453157528456,47.2710708318981,6.88548508758853,4.95710588736189,31.744623164268,39.4982256932334,50.0457388676297
ABHD11,2.63219716736102,0,17.8300807082812,23.6986860835409,19.338165340322,0,7.71105360256293,18.938553592319,16.1710382838179,21.4032090754643
ABHD12,3.94829575104153,3.12236062953035,43.7717002795573,52.3314834652323,35.3706613917,5.50838807007083,6.88486928800262,38.9593102470561,30.0186515268574,41.337570469279
ABHD13,0,13.7383867699335,22.8041375582309,16.9703524951539,36.3623621783832,9.63967912262395,1.10157908608042,21.0127761286206,25.743549451825,29.6917067076293
ABHD14A,0,0,2.21919459459294,4.1117594151254,3.14038582449673,0,0.55078954304021,2.97605842165012,2.97398405219639,2.41310690556705
ABHD14B,2.63219716736102,3.12236062953035,20.6614669151756,21.6054267449316,20.1645826625579,2.06564552627656,13.7697385760052,15.6017608165294,19.2379593376454,17.3114191051549
ABHD15,4.60634504288178,2.49788850362428,70.5550833177479,54.4995020659348,69.5843385322696,1.37709701751771,13.7697385760052,56.5451100113523,68.2157591972548,57.7047303505164
ABHD16A,2.63219716736102,0,25.8650956197384,26.6890565672685,16.3630629802724,21.3450037715245,8.26184314560314,14.4293741655763,20.1673293539568,20.6687852346395
ABHD16B,0,0,4.2853412861105,4.26127793931178,3.96680314673271,0,0,1.44293741655763,2.69517304730298,3.77703689567016
ABHD17A,5.26439433472204,8.11813763677891,41.3229338303513,47.6216499533614,35.2053779272528,6.19693657882968,9.91421177472377,23.0869986649222,29.8327775235951,36.3015212750521
ABHD17B,4.60634504288178,8.74260976268498,20.7379908667133,26.3900195188957,30.0815905293897,13.7709701751771,0.55078954304021,20.9225925400857,25.2788644436693,31.1605543892788
ABHD17C,2.63219716736102,3.12236062953035,24.5641884435977,29.5299085268097,43.3042676851654,0.688548508758853,19.2776340064073,38.418208715847,44.4238867796836,44.4851012156708
