,logFC.Riboseq_sample-RNAseq_sample,AveExpr.Riboseq_sample-RNAseq_sample,t.Riboseq_sample-RNAseq_sample,P.Value.Riboseq_sample-RNAseq_sample,adj.P.Val.Riboseq_sample-RNAseq_sample,B.Riboseq_sample-RNAseq_sample,Symbol.Riboseq_sample-RNAseq_sample
A1BG,2.79686994064321,1.37519536293788,5.21871342229458,0.000589590208470658,0.00617953568165461,0.100371041952644,A1BG
A1BG-AS1,0.334045139101502,0.227741901628894,1.61732389559221,0.140992991108323,0.262881543643331,-5.90230313533027,A1BG-AS1
A4GALT,0.114902819952397,0.450576242913096,0.572802038235062,0.581101696598748,0.69964128880958,-6.91741483519148,A4GALT
AAAS,1.04795854766247,5.38590845326987,3.13661815052224,0.0123108962171596,0.0492148336505117,-3.43164288695949,AAAS
AACS,-1.55875676906084,3.98849303246078,-2.14832094573478,0.0608467771381231,0.146617989355867,-4.60826219470205,AACS
AADAT,0.829719549827959,3.15712015831271,1.47935886879212,0.173890507303106,0.303586710419729,-5.37805334988562,AADAT
AAGAB,-1.34254709953684,5.6686876466886,-1.8694713895437,0.0950897943057649,0.199092053390003,-5.32004197587865,AAGAB
AAK1,-3.12491174010281,3.89230095727774,-5.09447305680732,0.000694739222314349,0.00686857726935153,-0.354045684799481,AAK1
AAMDC,-1.25183156142515,2.95453400693242,-1.65740455829312,0.132546439788801,0.251247400233391,-5.4276119892932,AAMDC
AAMP,0.0709211546050845,5.98668115337323,0.263744046602513,0.798042762200157,0.868545152385278,-7.09218798338636,AAMP
AAR2,1.14590139381461,4.12757377192069,3.41814377779481,0.00789495103499755,0.0365925537465842,-2.59139468869615,AAR2
AARD,0.0332230611454712,0.705441132052294,0.0611904613689165,0.952573241734321,0.971216077620073,-7.06720874930862,AARD
AARS1,0.717714367004221,7.65473331626489,3.1573748643502,0.0119109332989361,0.0481140361414535,-3.84165832613977,AARS1
AARS2,0.00787920935868858,5.21698031369013,0.0174765204737966,0.986445867446479,0.992420919020123,-6.81253752085326,AARS2
AASDH,-2.14068201840715,1.73666982969256,-6.17506916823444,0.000179028139009639,0.00268870320862691,1.13588351266864,AASDH
AASDHPPT,-0.63927038468904,4.45004861587874,-1.23568409474137,0.248511776266047,0.389572424752837,-5.83044782001726,AASDHPPT
AASS,-0.819750598659279,5.40965652136663,-1.38258937609868,0.200829587843239,0.336335957434264,-5.8715626845234,AASS
AATBC,0.453912209434876,0.519304187837968,1.03125409589884,0.329901696274033,0.475163451132095,-6.64364122883652,AATBC
AATF,-0.547405656551422,6.94697809562053,-1.83470502069854,0.100464345963917,0.207089449017167,-5.66411923674965,AATF
AATK,0.155317497034587,1.71902307371632,0.160468636085933,0.876131217082339,0.921082770330514,-6.62946389926136,AATK
ABAT,-0.737893986155359,1.38118525691021,-1.16691458638194,0.273860071511128,0.417533098228306,-6.01268924532587,ABAT
ABCA11P,1.3951483456128,1.58568910681201,2.53381572937677,0.0325506402811893,0.0958024450092652,-3.84854331808301,ABCA11P
ABCA2,-0.534210919286707,4.78053316752225,-0.889224769559596,0.397513807526531,0.539389242263634,-6.15661851734485,ABCA2
ABCA3,0.110355115221862,5.23423468085167,0.351392670187709,0.733551490800663,0.820234432688402,-6.73306780444904,ABCA3
ABCA5,-3.04438990827951,3.01405172538511,-4.07960274540878,0.00288635690121791,0.018322655904404,-1.84533523321822,ABCA5
ABCA7,-1.70973759944027,2.11846260298738,-5.27746952308778,0.000545979548263712,0.00585280126225291,0.00989850376927048,ABCA7
ABCB1,-0.901563165739769,5.50602325851497,-2.01059609209926,0.07593865643694,0.171454014325399,-4.94655317691113,ABCB1
ABCB10,0.0359258081431717,4.57577207910931,0.0474830396794644,0.963187254300384,0.977519779757949,-6.80214798035248,ABCB10
ABCB4,1.70407524217618,1.81327014502624,1.51110453510855,0.165769891345835,0.29392540793427,-5.30993670531145,ABCB4
ABCB6,-0.258409657384601,3.93779910153033,-0.576515087729073,0.578697427543942,0.69772884478125,-6.34314750359042,ABCB6
ABCB7,0.317622830978836,5.00535668616236,1.01169072958547,0.338664671170322,0.48359136518485,-6.26676978477942,ABCB7
ABCB8,0.909371720861696,3.31707224140278,1.14968098787068,0.280529112421732,0.424128293978369,-5.83324484702264,ABCB8
ABCB9,0.573959030656437,1.06974645068337,0.80214363721096,0.443569370729849,0.581996707764223,-6.5826833190606,ABCB9
ABCC1,-0.187388365288784,6.15866198732985,-0.833358061289971,0.426659381987193,0.567085026821238,-6.69062317572829,ABCC1
ABCC10,0.0524528466505245,4.19989171397369,0.102311752692415,0.920800184512864,0.951921512440603,-6.60003650365482,ABCC10
ABCC2,0.362032491258152,0.336104834081557,1.78760425073334,0.108200041617081,0.218442469262111,-5.66791919967346,ABCC2
ABCC4,0.675338837937079,4.57064699858654,1.49297075712371,0.170366603404417,0.299493924400892,-5.58181134842674,ABCC4
ABCC5,-0.169487719107534,5.07691009161517,-0.483586462407211,0.640472160596529,0.748153728553847,-6.62085504726098,ABCC5
ABCC6,0.497162288897914,0.260497545693927,2.55789145374153,0.0313013728834482,0.0932698991913299,-4.52531458784087,ABCC6
ABCC8,0.57585591516267,0.287029986946924,1.24574727670118,0.244969108900055,0.385689068746624,-6.45862631623587,ABCC8
ABCD1,1.58295532099019,1.03299007890703,1.90101120859602,0.0904491208862552,0.192371299890351,-5.00754082467734,ABCD1
ABCD3,0.331107161141277,4.75328670213038,0.604409179031756,0.560813233909284,0.683609155269493,-6.53408505795733,ABCD3
ABCD4,-0.36564185881956,4.17383494202304,-0.950340101038652,0.367281625898958,0.511117002902068,-6.10829817048907,ABCD4
ABCE1,-0.370694394046437,4.73390581181009,-0.670798218799279,0.519546686721487,0.649220819658026,-6.48281424610068,ABCE1
ABCF1,0.798906718018649,6.98931841904269,3.68530399572367,0.00522240659039519,0.0277911557644927,-2.86053030578813,ABCF1
ABCF2,-3.17585798661914,2.42743390555469,-14.3522531740613,2.0648419456824e-07,1.51830409318459e-05,7.84630973989855,ABCF2
ABCF3,0.860338446040582,3.23896968923312,1.92956608577514,0.0864329484236459,0.186775712289373,-4.85812444426554,ABCF3
ABCG1,3.92633936005691,1.39770040600884,11.316566456757,1.51789193240344e-06,7.59914833392616e-05,5.66356801421461,ABCG1
ABCG2,2.70327057414245,1.17784820645082,3.35842005247222,0.00866911567368277,0.0390151657893061,-2.59403456850417,ABCG2
ABCG4,1.60121301201977,0.417754765567,2.40791846614078,0.0399441102964774,0.10979963963506,-4.39098153691284,ABCG4
ABHD1,0.433950467663018,0.176736765368164,2.17415447711586,0.0583597209059867,0.14227638400116,-5.1127380869539,ABHD1
ABHD10,-0.14601515520954,3.73722938069388,-0.292034648167948,0.777020549429351,0.853815849047971,-6.49828238569843,ABHD10
ABHD11,-0.37805695424758,2.49082625321417,-0.299102085768847,0.771797994660927,0.85058456019507,-6.49818735487076,ABHD11
ABHD12,0.0717470641456459,4.09294389543254,0.164043684017607,0.873398676056911,0.919236805469768,-6.52217333910419,ABHD12
ABHD13,0.10149728202498,3.21600414704129,0.0767455862857422,0.940540621252251,0.965020327222537,-6.46475224261208,ABHD13
ABHD14A,1.08362777602842,0.231787095142916,3.52876127972742,0.00664626801483724,0.0326048154322653,-2.87544496859599,ABHD14A
ABHD14B,1.57606363485031,3.12028589866022,2.6565833447561,0.0266650410598509,0.0837313842892343,-3.62372860725165,ABHD14B
ABHD15,-1.05204127565674,4.48962968708209,-1.92016357819871,0.0877363604336938,0.188619146734108,-4.89865140619941,ABHD15
ABHD16A,2.51631401433912,3.0174801109302,2.31517021809508,0.0464396215744944,0.122046645083528,-4.24011544824863,ABHD16A
ABHD16B,0.747255826849739,0.177677700216188,3.37563246328883,0.0084381786931779,0.0383767417053638,-3.28724997500462,ABHD16B
ABHD17A,0.782159639786814,4.14077009711452,1.7170625964992,0.120825660544253,0.235187739633774,-5.14145774727888,ABHD17A
ABHD17B,0.102867599383081,3.5841840474616,0.115217547862373,0.910856110039631,0.944576653558066,-6.46204068800573,ABHD17B
ABHD17C,-0.529841307812142,3.89136360556746,-0.731182345306564,0.483661303261217,0.618732355875486,-6.26070299632649,ABHD17C
ABHD18,-2.5185367978941,1.67032095821257,-8.15188123506104,2.16491907167437e-05,0.000595134725825121,3.26573737427561,ABHD18
ABHD2,-1.2661926890635,5.7300935291608,-2.92955842441929,0.017149688983667,0.061404846328027,-3.51599371043405,ABHD2
ABHD3,-1.80330525388552,3.24918232734496,-1.904887155918,0.0898938050718088,0.191565394717554,-5.08930059604436,ABHD3
ABHD4,0.571071182443937,1.25653778293876,0.663501956306459,0.523990448341682,0.652537676870359,-6.35386789111938,ABHD4
ABHD5,-2.66845806297021,1.80005878893379,-4.42276589725316,0.0017536197588225,0.0130253214178872,-1.30006654722329,ABHD5
ABHD6,2.30570072433057,1.26025570613168,6.194765355015,0.000174909606354494,0.00264954272801798,1.28388427082693,ABHD6
ABHD8,0.699537699443663,3.64435126775413,0.762328141640516,0.465784302067446,0.602358044938005,-6.14055536374043,ABHD8
ABI1,0.255230128084455,4.46748469347892,0.436937740409481,0.672670527514452,0.773163112224133,-6.77107016029072,ABI1
ABI2,-1.87373141023768,5.47808687795741,-4.14802544944082,0.00260984243734503,0.0171308449760235,-1.47952413823749,ABI2
ABITRAM,-0.0622566322283205,2.29726378442356,-0.0685533055486285,0.946875948488844,0.968131008219596,-6.58377686552052,ABITRAM
ABL1,0.074007571538603,5.60715321309408,0.248011229224335,0.809809894869755,0.876957589611966,-6.90968973766289,ABL1
ABL2,-1.21783204937274,5.54135104030798,-1.92592235424037,0.0869358632249964,0.187440518785965,-4.97954024184442,ABL2
ABLIM1,-1.16269832724372,5.27888958037606,-3.35598609478196,0.00870230097128519,0.0391021913152782,-2.76678424319558,ABLIM1
ABR,0.104285426676582,6.07062433043127,0.35960646265923,0.727610719353495,0.815723666785725,-7.05972760645146,ABR
ABRACL,-0.229084314684207,5.47734681116511,-0.520581740777905,0.615487621516733,0.728614308282177,-6.74440960016488,ABRACL
ABRAXAS1,1.62998990611871,0.826937073243574,1.9844688338696,0.0791819287261847,0.176156708124216,-4.89584981822734,ABRAXAS1
ABRAXAS2,-1.50045859023789,3.95602228399502,-4.2897063250464,0.00212312211771497,0.014894244582172,-1.24600382364123,ABRAXAS2
ABT1,-0.272250665585894,5.98950053154257,-0.577937901886319,0.577777589504413,0.697184958001992,-6.74373905470823,ABT1
ABTB1,1.06339173689742,0.802413843448007,1.56958176497307,0.151686613060046,0.275996877984954,-5.57047193719897,ABTB1
ABTB2,0.442978553792376,3.76363410169331,0.780681713292983,0.455454504590905,0.592636561826212,-6.15466720839931,ABTB2
ACAA1,2.11677014419846,2.98112076800165,2.82508926052462,0.020296085798112,0.0693633839984858,-3.35872717802881,ACAA1
ACAA2,0.614079765918487,4.98524215202492,1.6614385316833,0.131722308471074,0.250155441349828,-5.5137086537568,ACAA2
ACACA,-0.911996662690093,6.45259216278227,-3.43275744206169,0.00771677233452802,0.0359912097188195,-3.0012066454813,ACACA
ACACB,-0.70531093413733,1.73976411394238,-0.712845872349248,0.494388690328057,0.627847398583386,-6.38277849749679,ACACB
ACAD10,0.783683711799332,3.78239131055726,1.72677204935299,0.119010630177149,0.232713584049998,-5.09216878482239,ACAD10
ACAD8,-1.23638293595066,2.56506897994043,-1.1282743794721,0.288993008673504,0.432616190907914,-6.01923330404806,ACAD8
ACAD9,1.12640430679687,3.60844736036227,1.17374971352991,0.271250559824349,0.414898743618652,-5.85525887743958,ACAD9
ACADL,0.0234487434106023,0.513876054141811,0.113383997516379,0.912267924071026,0.94564343579398,-7.0561279842543,ACADL
ACADM,-0.923969983165974,4.70327503969757,-2.02386328802348,0.0743408281721199,0.16914485288219,-4.76953696346732,ACADM
ACADS,3.29501062429641,1.81069577217769,3.6619313823884,0.00541275906199982,0.0284926668297216,-2.1072397211955,ACADS
ACADSB,-0.928636139860554,4.50536309788784,-1.65850990922044,0.132320153525505,0.251020683616378,-5.28582040176276,ACADSB
ACADVL,-0.000534180998114309,5.30175313382087,-0.000928205630887218,0.999280077902514,0.999775787671156,-7.04805678558551,ACADVL
ACAP1,0.148545797110597,0.430887986017719,0.621405450885313,0.550072271116592,0.674652100045526,-6.88910851475388,ACAP1
ACAP2,0.801079219143144,3.7138924956042,1.38499650177312,0.200118093760386,0.335462746106522,-5.58591387872472,ACAP2
ACAP3,-0.298934644255268,4.28531681233373,-0.521921442924445,0.614592369285041,0.727920727312602,-6.43035319259567,ACAP3
ACAT1,1.06153510553899,5.16384284879488,2.95633627682242,0.0164268930535363,0.0594653528538013,-3.64583279893639,ACAT1
ACAT2,-1.84826635356819,3.92700434205475,-2.00013088081754,0.0772221862713293,0.173464252311635,-4.82863882042988,ACAT2
ACBD3,-0.396473886376284,6.06152542098608,-1.89243202858864,0.0916898261869563,0.194221690336558,-5.47845395551953,ACBD3
ACBD4,-0.756000120380713,3.75378177686384,-1.33612558392557,0.214993401787152,0.352624389996015,-5.65459278464217,ACBD4
ACBD5,-1.12878147012719,4.66740171796401,-2.06728222005469,0.0693343254340497,0.161076519084732,-4.70463662795692,ACBD5
ACBD6,1.28864561949023,5.50999886645843,5.33847875354889,0.000504367191561316,0.00551134366134881,-0.066231981437431,ACBD6
ACBD7,-3.04011460027561,1.66318854799088,-12.7002043716793,5.79586632163488e-07,3.38124135243145e-05,6.84729461906106,ACBD7
ACCS,-0.0151252601484597,0.5786647146562,-0.0754205509098387,0.941565021323244,0.965220372570546,-7.04845092690327,ACCS
ACD,3.03528295772158,2.82469906156057,2.61536196178735,0.0285107909656709,0.0872378298338408,-3.79059999521046,ACD
ACE,-0.437960466034422,1.21324374135685,-0.662254821838271,0.52475230296778,0.653302734858829,-6.68197072608494,ACE
ACER2,0.0951518463183101,0.988506462138449,0.432118437176748,0.676039154290225,0.775694411270399,-6.99018383151273,ACER2
ACER3,-2.71041291695599,2.99981320717725,-9.25384201176332,7.88049990627187e-06,0.000280951761809965,4.27746600269041,ACER3
ACHE,0.2645062286956,0.186433912229651,0.90642519561158,0.388830625275598,0.531465850289563,-6.71270684658772,ACHE
ACIN1,-0.922069951905237,7.66003233897588,-3.72583645037467,0.00490885519398472,0.0265427872955482,-2.76738699663289,ACIN1
ACLY,0.55349804003932,8.22976317179622,3.79438071369363,0.00442301745755085,0.0247303605804764,-2.92595452585273,ACLY
ACO1,-0.0261905286945137,3.42151927545589,-0.0387301616958126,0.969968999292966,0.981818717378704,-6.50188638226211,ACO1
ACO2,3.35630920388268,3.61413804189942,3.43668801479493,0.00766957066013491,0.0358896249850131,-2.60083559916652,ACO2
ACOT1,1.6999907192715,2.50106860890392,1.96141898613758,0.0821526448635232,0.18088444170044,-4.69271800003774,ACOT1
ACOT13,1.06022998207351,4.75439590392604,1.60017877849795,0.144752553802581,0.267139418899979,-5.59835861066998,ACOT13
ACOT2,0.445760840444794,4.69512565950273,0.806895236566277,0.440966454415156,0.580147647323937,-6.34986882937814,ACOT2
ACOT7,1.64160500896567,5.20014746091478,5.43086275097778,0.000447758024233891,0.00507457427003571,0.0976679829889866,ACOT7
ACOT8,2.34678024485521,1.97027551122258,4.98100007896274,0.00080864094919708,0.00769298714337222,-0.195646553198489,ACOT8
ACOT9,-0.259792550868073,4.03080354319159,-0.283881844548344,0.783059912967979,0.857617388564322,-6.54422381861335,ACOT9
ACOX1,-0.957796341219307,4.51637915408077,-2.41889839867669,0.0392375041492073,0.108576064989908,-4.17389852363446,ACOX1
ACOX3,-0.27964411932268,0.933962502325653,-0.485617984040582,0.639087245792571,0.746906766233404,-6.83921405383588,ACOX3
ACOXL,2.31325428372907,2.137342037409,2.04346235462798,0.0720393206503613,0.16551187385491,-4.57804941016962,ACOXL
ACP1,-0.652183088311457,5.79416833128326,-1.55464388381508,0.155178842530088,0.28051407155439,-5.80259595332055,ACP1
ACP2,0.784025917120516,2.39388184793544,0.736231790056601,0.480733502669026,0.615712200914571,-6.24873007327587,ACP2
ACP6,-0.801697716329075,3.58462410044729,-0.77402782099029,0.459181829166122,0.596277507741658,-6.22330079574743,ACP6
ACSF2,0.972792988436182,3.80405806057264,2.39409485943893,0.0408517445451412,0.111426763811496,-4.14332980932472,ACSF2
ACSF3,0.255983127242921,3.64030822779913,0.549035198575892,0.596620452254292,0.713035430874976,-6.30367340426079,ACSF3
ACSL1,0.00133333874794683,4.50211324991656,0.00330657982784885,0.997435400781501,0.998567081848903,-6.60672864547144,ACSL1
ACSL3,0.168762541972269,6.19272127030402,0.540955097648057,0.60194672195217,0.717457477460594,-7.04011187000747,ACSL3
ACSL4,-0.384142276263821,4.84708286421736,-0.723790459716267,0.487967810570271,0.622618817490205,-6.48456223946413,ACSL4
ACSL6,1.9205842124457,0.567600124927474,2.45529053245775,0.036983358345017,0.104405329557079,-4.2413511463987,ACSL6
ACSM3,1.72237188730605,0.537974360135431,2.74870992864098,0.0229652157900809,0.0754103353243476,-3.86545431553484,ACSM3
ACSS1,-0.201998856782701,2.88834086670917,-0.211658745527272,0.837188813983611,0.896090346915892,-6.48769047357336,ACSS1
ACSS2,0.896194121407724,1.3041525964386,0.986198552526957,0.350345626710832,0.494617955790353,-6.09492921328657,ACSS2
ACTA2,3.37028393959537,2.87236725029113,5.36512504500754,0.000487282452741544,0.00537457317797275,0.26181338804045,ACTA2
ACTB,0.33710814107075,8.75119544118917,1.03392662257694,0.32871811819297,0.473797079392379,-7.25493993432747,ACTB
ACTBL2,0.822499982260846,0.373529019334054,2.10925803355416,0.0648041858700943,0.153430403507294,-5.3395409813284,ACTBL2
ACTG1,0.572485928533983,9.62452166008708,2.53048446603255,0.0327273963928634,0.0960992891585785,-5.34421641850315,ACTG1
ACTG1P20,3.53319085991776,3.68940756721652,6.50031804575321,0.000122662578451797,0.00208064960104949,1.59819341009975,ACTG1P20
ACTG1P4,4.41468675075125,1.13803809592893,4.5820949332905,0.00139949970489432,0.011307772412412,-0.824118206153877,ACTG1P4
ACTL6A,-0.410340151188563,4.97753799040242,-1.09485488015955,0.302609641474373,0.44693408498119,-6.09330244783634,ACTL6A
ACTN1,1.39780039949881,5.75100073661746,5.0198746204656,0.000767497387830904,0.00739854878822253,-0.622713443295328,ACTN1
ACTN2,-2.28588370929164,2.61439865664218,-5.00402155039618,0.000783996138050599,0.00751933252513476,-0.402633681279283,ACTN2
ACTN4,0.372377014342494,8.07868337183576,1.15427896235237,0.278737202204127,0.422196636705215,-6.92235026550233,ACTN4
ACTR10,1.45671444418875,3.99341777972012,3.49861023495756,0.00696459624392151,0.0336387854162449,-2.52122714565582,ACTR10
ACTR1A,-0.39831725853714,5.26229912274179,-0.803983220573397,0.442560426354361,0.581269708742289,-6.37143129858576,ACTR1A
ACTR1B,0.341709960589927,4.50686289790562,0.453386646683583,0.661231509590765,0.764433872617296,-6.67217325995671,ACTR1B
ACTR2,-1.12610520574342,7.9560207358617,-4.16401600270155,0.00254938132599326,0.0168581571711348,-2.20712617063228,ACTR2
ACTR3,1.08384893706064,6.18187629437753,3.18319125444703,0.011432205405801,0.0469731885678401,-3.54999586771342,ACTR3
ACTR3-AS1,1.48151270769282,0.562536593529197,2.3504784507509,0.0438519160984951,0.117032391583848,-4.76958894872377,ACTR3-AS1
ACTR3B,-0.470332122456153,1.62569709131195,-0.535534872552947,0.605533753238511,0.720091436002467,-6.56710273057468,ACTR3B
ACTR3C,0.137086615509,0.400172112682034,0.624172736010974,0.548334804979312,0.673515814920648,-6.88809536613491,ACTR3C
ACTR5,-0.452444532116923,0.722986536517308,-1.82066864566425,0.102713856509267,0.210313883422455,-5.37097023410489,ACTR5
ACTR6,-0.109784516481109,4.34810256901675,-0.186310576632921,0.856420762742213,0.908128935516763,-6.63063850613557,ACTR6
ACTR8,-0.159276457575896,4.16310460478137,-0.286984322113215,0.780759844771169,0.856070789723467,-6.48685146841566,ACTR8
ACTRT3,0.515426950047205,0.0305880525700175,2.45462019081572,0.037023688402059,0.104498287257151,-4.69814671205328,ACTRT3
ACVR1,0.981508697923083,3.3655910154157,1.08534462069069,0.306575150064573,0.451139041964941,-5.91585978134456,ACVR1
ACVR1B,-1.74268732275774,5.54476218842374,-4.6973615865408,0.00119152838357171,0.0100190576052801,-0.724066643739636,ACVR1B
ACVR1C,-1.1243188181545,1.01164927226294,-3.46994662428994,0.00728207998119766,0.0345690669719397,-2.65502972749199,ACVR1C
ACVR2A,-0.948881419417003,2.75458423562899,-1.29628782307489,0.227803415226092,0.366403197655053,-5.84884270112387,ACVR2A
ACVR2B,-3.86432155486078,5.08839086008757,-4.60481789865293,0.00135560366420463,0.0110435155979463,-0.881037879410648,ACVR2B
