GeneID	Riboseq_control_1	Riboseq_control_2	Riboseq_sample_1	Riboseq_sample_2	RNAseq_control_1	RNAseq_control_2	RNAseq_control_3	RNAseq_sample_1	RNAseq_sample_2	RNAseq_sample_3
A1BG	0	0	26	8	157	132	48	100	124	68
A1BG-AS1	0	0	0	0	61	38	11	50	47	33
A1CF	0	0	0	0	10	9	5	12	15	4
A2M	0	0	0	0	1	3	0	2	2	0
A2M-AS1	0	0	0	0	8	7	4	6	4	3
A2ML1	0	0	0	0	1	4	0	6	2	3
A2MP1	0	0	0	0	0	0	0	0	0	0
A3GALT2	0	0	0	0	4	3	1	1	1	5
A4GALT	0	0	0	0	75	90	26	73	48	47
A4GNT	0	0	0	0	0	0	0	0	3	0
AA06	0	0	0	0	0	0	0	0	0	0
AAAS	24	36	141	94	949	1140	428	733	747	805
AACS	4	30	18	2	583	562	188	500	572	487
AACSP1	0	6	0	0	0	2	0	0	0	0
AADAC	0	0	0	0	1	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0	0
AADACL2-AS1	0	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	4
AADACP1	0	0	0	0	0	0	0	0	0	0
AADAT	4	8	20	14	256	274	113	316	254	153
AAGAB	46	0	56	74	2306	2476	925	2273	2462	1871
AAK1	48	8	0	10	455	537	215	646	625	449
AAMDC	22	2	4	0	307	355	153	241	227	246
AAMP	29	20	66	195	2216	2142	951	1515	1357	1523
AANAT	0	0	0	0	9	12	2	11	3	1
AAR2	14	8	34	48	476	551	244	306	349	332
AARD	10	0	0	0	62	51	14	66	63	53
AARS1	224	176	416	526	5285	5784	1731	3753	3464	2467
AARS2	42	12	26	101	1050	1164	557	711	884	873
AARSD1	0	0	0	0	2	1	0	1	0	1
AASDH	0	0	0	0	224	212	137	294	214	144
AASDHPPT	4	16	12	43	682	536	448	664	609	640
AASS	42	14	70	36	1061	797	785	1513	1378	856
AATBC	0	2	0	0	91	65	15	88	36	16
AATF	84	96	106	193	4490	4821	1322	2932	2790	2287
AATK	0	2	0	11	207	228	91	160	142	133
ABALON	0	0	0	0	8	7	6	3	16	3
ABAT	0	0	2	0	149	192	64	178	175	173
ABCA1	0	0	0	0	10	8	2	26	17	10
ABCA10	0	0	0	0	14	6	7	19	13	17
ABCA11P	0	0	2	20	194	180	86	157	175	94
ABCA12	0	0	0	0	2	9	5	7	9	6
ABCA13	0	0	0	0	4	0	0	9	2	1
ABCA17P	0	8	0	0	19	20	2	18	13	8
ABCA2	38	54	6	56	841	932	338	592	644	380
ABCA3	68	41	34	78	831	895	378	800	800	634
ABCA4	0	0	0	0	0	3	1	0	0	2
ABCA5	0	6	0	8	327	247	168	638	575	370
ABCA6	0	0	0	0	0	0	0	3	5	0
ABCA7	20	16	0	0	152	208	76	183	171	178
ABCA8	0	0	0	0	13	8	5	17	20	5
ABCA9	0	0	0	0	5	2	0	0	0	4
ABCA9-AS1	0	0	0	0	0	0	0	0	0	0
ABCB1	42	52	50	38	1241	996	512	1486	1279	818
ABCB10	0	16	28	92	796	857	404	691	877	801
ABCB11	0	0	0	0	0	1	0	0	0	1
ABCB4	0	8	18	6	140	115	37	191	143	112
ABCB5	0	0	0	0	0	0	0	4	0	2
ABCB6	18	26	16	14	390	407	149	411	441	270
ABCB7	22	32	44	64	829	742	451	666	776	535
ABCB8	0	2	20	31	396	473	196	302	259	261
ABCB9	8	0	0	4	119	130	45	59	66	66
ABCC1	80	71	60	141	1859	1921	826	1583	1480	1269
ABCC10	4	10	10	70	581	666	221	543	462	460
ABCC11	0	0	0	0	0	1	9	3	0	3
ABCC12	0	0	0	0	0	0	0	0	0	0
ABCC13	0	0	0	0	0	0	0	1	0	0
ABCC2	0	0	0	0	64	46	37	60	42	28
ABCC3	0	0	0	0	2	3	0	0	5	0
ABCC4	56	18	31	52	534	461	330	508	422	367
ABCC5	20	34	50	39	903	941	477	855	734	651
ABCC5-AS1	0	0	0	0	0	0	0	1	0	0
ABCC6	0	0	0	0	68	54	20	27	51	32
ABCC6P1	0	0	0	0	3	12	4	11	6	2
ABCC6P2	0	0	0	0	3	6	6	13	2	5
ABCC8	6	0	0	0	33	23	5	39	44	19
ABCC9	0	0	0	0	2	0	0	1	0	0
ABCD1	0	0	14	0	119	118	57	72	96	98
ABCD2	4	0	13	0	19	8	8	11	31	11
ABCD3	18	27	18	101	533	514	506	538	600	648
ABCD4	8	6	18	26	633	589	236	536	617	399
ABCE1	18	4	68	24	739	623	497	770	873	673
ABCF1	142	92	261	364	3241	3583	1137	2079	2072	2126
ABCF2	0	0	0	0	378	399	209	286	376	345
ABCF3	0	0	20	42	506	579	147	316	339	286
ABCG1	14	14	14	18	22	26	10	33	31	22
ABCG2	0	0	36	2	135	99	55	116	44	63
ABCG4	0	0	0	14	27	27	18	41	56	28
ABCG5	0	0	0	0	0	0	0	0	2	0
ABCG8	0	0	0	0	7	2	2	6	4	0
ABHD1	0	0	0	0	32	39	19	33	57	30
ABHD10	4	2	20	18	398	331	286	352	425	477
ABHD11	8	0	0	28	233	317	117	210	174	204
ABHD11-AS1	0	0	0	0	2	1	1	0	0	2
ABHD12	12	10	16	25	572	700	214	432	323	394
ABHD12B	0	0	0	0	0	1	4	12	14	0
ABHD13	0	44	28	4	298	227	220	233	277	283
ABHD14A	0	0	0	2	29	55	19	33	32	23
ABHD14A-ACY1	0	0	0	0	0	0	0	0	0	0
ABHD14B	8	10	6	50	270	289	122	173	207	165
ABHD15	14	8	4	50	922	729	421	627	734	550
ABHD16A	8	0	62	30	338	357	99	160	217	197
ABHD16B	0	0	0	0	56	57	24	16	29	36
ABHD17A	16	26	18	36	540	637	213	256	321	346
ABHD17B	14	28	40	2	271	353	182	232	272	297
ABHD17C	8	10	2	70	321	395	262	426	478	424
ABHD18	0	0	0	0	184	180	120	241	286	203
ABHD2	30	22	19	100	1600	1533	991	1603	1641	1651
ABHD3	0	2	18	0	397	436	253	488	508	433
ABHD4	0	0	0	20	157	157	69	143	132	140
ABHD5	8	0	0	0	133	168	76	282	241	237
ABHD6	0	0	9	12	117	117	35	107	129	85
ABHD8	48	2	4	48	432	410	198	223	224	290
ABI1	2	0	42	94	887	1019	390	985	758	666
ABI2	48	52	22	24	1166	952	782	1447	1311	1248
ABI3	0	0	0	0	0	2	0	0	0	2
ABI3BP	0	1	0	0	10	2	3	0	9	0
ABITRAM	12	12	12	0	118	138	89	196	202	149
ABL1	20	36	72	73	1729	1738	796	936	928	1036
ABL2	68	30	8	98	1561	1532	680	1382	1257	853
ABLIM1	12	12	22	58	1454	1272	744	1439	1264	1033
ABLIM2	0	16	0	0	9	14	1	9	7	11
ABLIM3	0	0	0	32	34	23	2	19	20	9
ABO	0	0	0	0	0	4	0	1	4	4
ABR	30	48	118	110	2118	2297	865	1323	1313	1518
ABRA	0	0	0	0	2	0	0	0	2	0
ABRACL	43	13	53	73	1177	1101	938	995	1108	1026
ABRAXAS1	0	0	0	28	81	88	20	57	67	58
ABRAXAS2	8	8	8	10	495	470	250	670	526	452
ABT1	59	70	62	72	2605	2827	677	1192	976	1254
ABTB1	0	0	0	12	77	70	40	77	61	77
ABTB2	8	14	30	10	487	517	175	301	298	231
ACAA1	4	18	10	38	251	334	100	171	116	202
ACAA2	28	20	34	102	769	737	491	614	547	719
ACACA	42	36	76	134	3362	3110	1075	2713	2695	2089
ACACB	0	4	0	8	162	180	84	193	148	172
ACAD10	6	16	18	26	440	529	180	317	258	234
ACAD11	0	0	0	0	0	0	0	0	0	0
ACAD8	20	0	0	12	288	253	104	235	257	173
ACAD9	8	0	50	22	486	592	208	268	296	296
ACADL	0	0	0	0	77	71	49	72	72	44
ACADM	10	30	18	26	772	638	452	719	773	677
ACADS	0	4	30	24	153	122	46	103	135	109
ACADSB	2	18	10	38	764	719	511	780	664	625
ACADVL	0	18	84	100	1754	1838	843	1414	1282	1018
ACAN	0	1	0	1	1	4	0	5	4	9
ACAP1	0	0	0	0	70	95	21	87	68	26
ACAP2	8	12	24	30	278	226	289	314	257	353
ACAP3	20	2	16	30	811	841	252	538	474	482
