GeneID	max_transcript
JUN	3256
A1BG	8309
A1BG-AS1	3213
A4GALT	29189
AAAS	14150
AACS	77881
AADAT	30165
AAGAB	54523
AAK1	185742
AAMDC	79671
AAMP	6008
AAR2	20524
AARD	6280
AARS1	37115
AARS2	14616
AASDH	49223
AASDHPPT	21033
AASS	70699
AATBC	6809
AATF	107917
AATK	48925
ABAT	109952
ABCA11P	48774
ABCA2	21688
ABCA3	64847
ABCA5	82822
ABCA7	25464
ABCB1	209460
ABCB10	42125
ABCB4	73984
ABCB6	9186
ABCB7	105234
ABCB8	19360
ABCB9	45514
ABCC1	193437
ABCC10	22886
ABCC2	69954
ABCC4	281617
ABCC5	97948
ABCC6	73975
ABCC8	84347
ABCD1	19899
ABCD3	100274
ABCD4	17665
ABCE1	31213
ABCF1	20080
ABCF2	15721
ABCF3	7932
ABCG1	97555
ABCG2	141362
ABCG4	13601
ABHD1	6997
ABHD10	14342
ABHD11	2772
ABHD12	96092
ABHD13	15851
ABHD14A	6132
ABHD14B	6120
ABHD15	6490
ABHD16A	16380
ABHD16B	1775
ABHD17A	8686
ABHD17B	48793
ABHD17C	60311
ABHD18	74521
ABHD2	113899
ABHD3	53873
ABHD4	14121
ABHD5	43433
ABHD6	57234
ABHD8	11294
ABI1	114491
ABI2	103775
ABITRAM	6554
ABL1	173794
ABL2	130346
ABLIM1	337192
ABR	226203
ABRACL	14557
ABRAXAS1	25583
ABRAXAS2	34848
ABT1	3786
ABTB1	7988
ABTB2	207023
ACAA1	14532
ACAA2	31369
ACACA	325000
ACACB	151638
ACAD10	71046
ACAD8	12312
ACAD9	33624
ACADL	37524
ACADM	39331
ACADS	14182
ACADSB	49309
ACADVL	8142
ACAP1	14948
ACAP2	168275
ACAP3	15539
ACAT1	26034
ACAT2	17067
ACBD3	42062
ACBD4	11557
ACBD5	58041
ACBD6	214347
ACBD7	13301
ACCS	17966
ACD	2748
ACE	21312
ACER2	43495
ACER3	165879
ACHE	7000
ACIN1	37049
ACLY	52105
ACO1	70125
ACO2	59857
ACOT1	6653
ACOT13	38032
ACOT2	8038
ACOT7	129494
ACOT8	15671
ACOT9	42220
ACOX1	37655
ACOX3	74441
ACOXL	385975
ACP1	13413
ACP2	9545
ACP6	28294
ACSF2	48687
ACSF3	62381
ACSL1	70519
ACSL3	83602
ACSL4	92057
ACSL6	62094
ACSM3	33567
ACSS1	51952
ACSS2	53003
ACTA2	56323
ACTB	3453
ACTBL2	2793
ACTG1	2828
ACTG1P20	2651
ACTG1P4	1982
ACTL6A	25525
ACTN1	105243
ACTN2	78173
ACTN4	83940
ACTR10	35486
ACTR1A	23483
ACTR1B	8105
ACTR2	43561
ACTR3	72507
ACTR3-AS1	59809
ACTR3B	95630
ACTR3C	442185
ACTR5	24059
ACTR6	24337
ACTR8	15086
ACTRT3	2638
ACVR1	139884
ACVR1B	45379
ACVR1C	102097
ACVR2A	86310
ACVR2B	39252
ACVR2B-AS1	3793
ACVRL1	15857
ACYP1	16247
ACYP2	334185
ADA	32239
ADAL	23897
ADAM10	160898
ADAM11	22858
ADAM12	376086
ADAM15	11459
ADAM17	67344
ADAM19	98471
ADAM21	7731
ADAM22	268638
ADAM23	177595
ADAM8	14445
ADAM9	108287
ADAMTS1	9654
ADAMTS10	30475
ADAMTS13	45064
ADAMTS15	27671
ADAMTS16	179974
ADAMTS17	370538
ADAMTS18	152906
ADAMTS19	278377
ADAMTS2	234608
ADAMTS20	198337
ADAMTS3	288252
ADAMTS5	49166
ADAMTS6	333182
ADAMTS7	52258
ADAMTS8	23686
ADAMTS9	172345
ADAMTSL3	385718
ADAMTSL4	11567
ADAP1	57507
ADAP2	37457
ADAR	45939
ADARB1	151985
ADAT1	26413
ADAT2	27863
ADAT3	8048
ADCK1	134905
ADCK2	22165
ADCK5	19191
ADCY1	148747
ADCY10P1	39801
ADCY3	101067
ADCY5	166249
ADCY6	22893
ADCY7	51583
ADCY9	153788
ADD1	86218
ADD2	111416
ADD3	139192
ADGRA2	48013
ADGRA3	128690
ADGRB1	95358
ADGRB2	37223
ADGRE2	46168
ADGRE5	27581
ADGRF4	23434
ADGRG2	133330
ADGRG6	144347
ADGRL1	58426
ADGRL2	687740
ADGRL3	877105
ADGRV1	605640
ADH5	17809
ADI1	22165
ADIPOR1	17747
ADIPOR2	97603
ADK	558118
ADM	2324
ADM2	4894
ADM5	2305
ADNP	42519
ADNP2	31083
ADO	3759
ADORA1	39679
ADORA2A-AS1	65868
ADORA2B	30979
ADPGK	32464
ADPRH	10453
ADPRHL1	31543
ADPRM	13964
ADPRS	5040
ADRA2C	2141
ADRM1	5966
ADSL	40989
ADSS2	43568
AEBP2	82735
AEN	10941
AFAP1	181213
AFAP1L1	71776
AFAP1L2	109954
AFDN	145458
AFF1	206052
AFF1-AS1	9956
AFF2	500046
AFF3	597171
AFF4	88238
AFG1L	230947
AFG3L1P	28207
AFG3L2	48283
AFMID	20384
AFTPH	68699
AGA	11728
AGAP1	637750
AGAP10P	20864
AGAP11	39867
AGAP12P	21506
AGAP2	18400
AGAP3	58567
AGAP4	28285
AGAP6	22198
AGAP7P	22183
AGAP9	21784
AGBL3	149270
AGBL5	19199
AGER	3354
AGFG1	89050
AGFG2	29017
AGGF1	34829
AGK	103833
AGL	73659
AGMAT	13352
AGO1	54490
AGO2	115477
AGO3	141394
AGO4	50253
AGPAT1	9896
AGPAT2	14314
AGPAT3	122367
AGPAT4	144091
AGPAT4-IT1	1850
AGPAT5	52858
AGPS	151061
AGRN	35994
AGTPBP1	195490
AGTRAP	14686
AHCTF1	92850
AHCTF1P1	8835
AHCY	31537
AHCYL1	38977
AHCYL2	205181
AHDC1	69899
AHI1	214207
AHNAK	113262
AHNAK2	41121
AHR	47495
AHRR	134114
AHSA1	11605
AHSA2P	11507
AIDA	44478
AIF1L	26676
AIFM1	36524
AIFM2	20667
AIG1	282994
AIMP1	33614
AIMP2	14589
AIP	8077
AJM1	4867
AJUBA	11374
AK1	13141
AK2	28943
AK3	32487
AK4	84596
AK6	18843
AK9	198356
AKAP1	36098
AKAP10	73553
AKAP11	51109
AKAP12	118592
AKAP13	368752
AKAP17A	10914
AKAP3	33539
AKAP5	9004
AKAP6	508385
AKAP7	148065
AKAP8	26401
AKAP8L	38938
AKAP9	169811
AKIP1	8890
AKIRIN1	14821
AKIRIN2	27373
AKNA	58278
AKR1A1	19268
AKR1B1	16889
AKR7A2	9438
AKR7A2P1	1323
AKR7L	8140
AKT1	26398
AKT1S1	9323
AKT2	55028
AKT3	355710
AKTIP	12264
ALAD	15026
ALAS1	16244
ALCAM	209991
ALDH16A1	17825
ALDH18A1	50768
ALDH1A2	112499
ALDH1A3	36794
ALDH1B1	5958
ALDH1L1	77625
ALDH1L2	64668
ALDH2	50598
ALDH3A2	29446
ALDH3B1	20729
ALDH4A1	31369
ALDH5A1	42238
ALDH6A1	27606
ALDH7A1	53378
ALDH8A1	32708
ALDH9A1	36451
ALDOA	6447
ALDOC	3775
ALG1	15536
ALG10	5805
ALG10B	12947
ALG11	21202
ALG12	18209
ALG13	79477
ALG14	98546
ALG2	5517
ALG3	7196
ALG5	49602
ALG6	70925
ALG8	38711
ALG9	89386
ALKBH1	35619
ALKBH2	5300
ALKBH3	39443
ALKBH4	8620
ALKBH5	26125
ALKBH6	5119
ALKBH7	2456
ALKBH8	63008
ALMS1	224161
ALMS1-IT1	2374
ALOX12	14705
ALOX12-AS1	27211
ALOX12B	15080
ALOX12P2	46773
ALOX5	71953
ALOXE3	23016
ALPK1	145265
ALPK3	56121
ALPP	4138
ALS2	80666
ALS2CL	24684
ALX1	21563
ALX3	10802
ALX4	49699
ALYREF	3752
AMACR	21885
AMBRA1	197609
AMD1	81091
AMDHD2	11046
AMER1	20591
AMFR	64093
AMH	2750
AMHR2	7817
AMIGO1	5549
AMIGO2	4244
AMIGO3	2855
AMMECR1	246047
AMMECR1L	24309
AMN1	58037
AMOT	66328
AMOTL1	108392
AMOTL2	20072
AMPD2	12242
AMPD3	57258
AMPH	247871
AMT	5695
AMY2B	24890
AMZ2	51035
AMZ2P1	9035
ANAPC1	116553
ANAPC10	103966
ANAPC11	9743
ANAPC13	8319
ANAPC15	6322
ANAPC16	19860
ANAPC1P1	33217
ANAPC2	13776
ANAPC4	41235
ANAPC5	45964
ANAPC7	30830
ANG	10009
ANGEL1	26873
ANGEL2	23693
ANGPTL2	35287
ANK1	243516
ANK2	677722
ANK3	707230
ANKDD1A	46789
ANKEF1	23314
ANKFY1	100156
ANKH	166978
ANKHD1	138016
ANKIB1	155409
ANKLE1	5745
ANKLE2	36327
ANKMY1	81642
ANKMY2	45974
ANKRA2	13448
ANKRD1	9175
ANKRD10	36529
ANKRD11	222929
ANKRD12	149204
ANKRD13A	40333
ANKRD13B	21629
ANKRD13C	95723
ANKRD13D	13181
ANKRD16	28277
ANKRD17	185422
ANKRD18A	49232
ANKRD18B	51191
ANKRD18CP	82849
ANKRD18DP	23140
ANKRD19P	28846
ANKRD20A5P	47953
ANKRD23	6109
ANKRD24	41460
ANKRD26	96382
ANKRD27	78174
ANKRD28	192578
ANKRD29	63985
ANKRD33B	93746
ANKRD34A	5134
ANKRD34B	13525
ANKRD36	151367
ANKRD36B	85167
ANKRD36C	142892
ANKRD37	3396
ANKRD39	10026
ANKRD40	14716
ANKRD42	62387
ANKRD44	324118
ANKRD46	50007
ANKRD49	5594
ANKRD50	48683
ANKRD52	20577
ANKRD54	18463
ANKRD6	200664
ANKRD61	5176
ANKRD63	4214
ANKRD9	8008
ANKS1A	202151
ANKS1B	1249863
ANKS3	37867
ANKS6	64546
ANKZF1	6873
ANLN	63929
ANO10	325268
ANO5	90272
ANO6	224309
ANO7	37298
ANO8	11632
ANOS1	203263
ANP32A	42359
ANP32A-IT1	3280
ANP32AP1	737
ANP32B	32601
ANP32C	704
ANP32D	1063
ANP32E	17695
ANTKMT	1444
ANTXR1	236183
ANTXR2	172326
ANXA1	18528
ANXA11	54919
ANXA2	50835
ANXA2P1	1342
ANXA2P2	1309
ANXA2P3	1349
ANXA2R	1265
ANXA3	58675
ANXA4	183304
ANXA5	29034
ANXA6	57073
ANXA7	38957
ANXA9	13341
AOC2	6127
AOC3	6947
AOPEP	360549
AP1AR	41323
AP1B1	60903
AP1G1	79832
AP1G2	8224
AP1M1	47992
AP1S1	6800
AP1S2	29007
AP1S3	82256
AP2A1	40113
AP2A2	86436
AP2B1	139089
AP2M1	9245
AP2S1	12710
AP3B1	294176
AP3B2	50627
AP3D1	50578
AP3M1	30573
AP3M2	18237
AP3S1	72146
AP3S2	63395
AP4B1	10833
AP4B1-AS1	88625
AP4E1	97212
AP4M1	7381
AP4S1	71344
AP5B1	7078
AP5M1	29771
AP5S1	8291
AP5Z1	18774
APAF1	90143
APBA1	244839
APBA2	232920
APBA3	10920
APBB1	24328
APBB2	404515
APBB3	6336
APC	138741
APC2	23095
APCDD1	35314
APEH	9620
APEX1	2541
