GeneID	Max_3_UTR
JUN	1283
A1BG	1838
A4GALT	777
AAAS	28
AACS	1102
AADAT	705
AAGAB	2153
AAK1	17871
AAMDC	183
AAMP	403
AAR2	1195
AARD	1785
AARS1	326
AARS2	1815
AASDH	420
AASDHPPT	1787
AASS	2938
AATF	206
AATK	1105
ABAT	3144
ABCA2	694
ABCA3	792
ABCA5	3225
ABCA7	145
ABCB1	1225
ABCB10	1596
ABCB4	399
ABCB6	165
ABCB7	2320
ABCB8	2432
ABCB9	918
ABCC1	1772
ABCC10	335
ABCC2	962
ABCC4	1745
ABCC5	1363
ABCC6	567
ABCC8	492
ABCD1	1019
ABCD3	1533
ABCD4	1520
ABCE1	1950
ABCF1	820
ABCF2	2569
ABCF3	308
ABCG1	851
ABCG2	2091
ABCG4	1558
ABHD1	67
ABHD10	1991
ABHD11	1418
ABHD12	630
ABHD13	4010
ABHD14A	177
ABHD14B	915
ABHD15	2013
ABHD16A	256
ABHD16B	37
ABHD17A	389
ABHD17B	1634
ABHD17C	1250
ABHD18	4113
ABHD2	6931
ABHD3	693
ABHD4	1410
ABHD5	4218
ABHD6	970
ABHD8	529
ABI1	1973
ABI2	4878
ABITRAM	1267
ABL1	1991
ABL2	8386
ABLIM1	5149
ABR	2560
ABRACL	398
ABRAXAS1	2951
ABRAXAS2	1695
ABT1	2093
ABTB1	450
ABTB2	1399
ACAA1	336
ACAA2	1682
ACACA	2323
ACACB	1862
ACAD10	625
ACAD8	891
ACAD9	506
ACADL	1037
ACADM	914
ACADS	559
ACADSB	4549
ACADVL	169
ACAP1	81
ACAP2	4582
ACAP3	1172
ACAT1	210
ACAT2	282
ACBD3	1930
ACBD4	1565
ACBD5	2215
ACBD6	132
ACBD7	3054
ACCS	443
ACD	93
ACE	1006
ACER2	1867
ACER3	6469
ACHE	963
ACIN1	582
ACLY	892
ACO1	4656
ACO2	360
ACOT1	140
ACOT13	3451
ACOT2	144
ACOT7	324
ACOT8	116
ACOT9	2837
ACOX1	5236
ACOX3	798
ACOXL	1182
ACP1	977
ACP2	813
ACP6	5192
ACSF2	292
ACSF3	2025
ACSL1	1529
ACSL3	2983
ACSL4	2693
ACSL6	4259
ACSM3	608
ACSS1	1531
ACSS2	751
ACTA2	148
ACTB	599
ACTBL2	1558
ACTG1	718
ACTL6A	396
ACTN1	735
ACTN2	2007
ACTN4	2156
ACTR10	1083
ACTR1A	1633
ACTR1B	918
ACTR2	2521
ACTR3	5140
ACTR3B	825
ACTR3C	7601
ACTR5	702
ACTR6	508
ACTR8	1652
ACTRT3	508
ACVR1	1084
ACVR1B	2968
ACVR1C	7150
ACVR2A	3552
ACVR2B	9809
ACVRL1	2467
ACYP1	200
ACYP2	1408
ADA	314
ADAL	2623
ADAM10	8737
ADAM11	2091
ADAM12	4887
ADAM15	315
ADAM17	1690
ADAM19	3644
ADAM21	236
ADAM22	6397
ADAM23	3499
ADAM8	810
ADAM9	1559
ADAMTS1	1823
ADAMTS10	652
ADAMTS13	222
ADAMTS15	2823
ADAMTS16	1165
ADAMTS17	2964
ADAMTS18	1827
ADAMTS19	1456
ADAMTS2	3013
ADAMTS20	342
ADAMTS3	2166
ADAMTS5	6130
ADAMTS6	3097
ADAMTS7	214
ADAMTS8	634
ADAMTS9	1466
ADAMTSL3	2034
ADAMTSL4	739
ADAP1	1020
ADAP2	1452
ADAR	2747
ADARB1	4362
ADAT1	3347
ADAT2	5630
ADAT3	295
ADCK1	1622
ADCK2	306
ADCK5	163
ADCY1	9119
ADCY3	761
ADCY5	2311
ADCY6	2394
ADCY7	2628
ADCY9	3120
ADD1	1903
ADD2	6951
ADD3	1946
ADGRA2	2540
ADGRA3	328
ADGRB1	589
ADGRB2	314
ADGRE2	3843
ADGRE5	603
ADGRF4	805
ADGRG2	1556
ADGRG6	2883
ADGRL1	3129
ADGRL2	3541
ADGRL3	8165
ADGRV1	536
ADH5	1437
ADI1	1596
ADIPOR1	747
ADIPOR2	2600
ADK	933
ADM	755
ADM2	3533
ADM5	496
ADNP	2486
ADNP2	1535
ADO	2606
ADORA1	1504
ADORA2B	553
ADPGK	1046
ADPRH	2066
ADPRHL1	876
ADPRM	413
ADPRS	545
ADRA2C	530
ADRM1	100
ADSL	2844
ADSS2	1093
AEBP2	4109
AEN	1986
AFAP1	5051
AFAP1L1	3604
AFAP1L2	1217
AFDN	2526
AFF1	5352
AFF2	9330
AFF3	6054
AFF4	5662
AFG1L	3575
AFG3L2	620
AFMID	763
AFTPH	968
AGA	932
AGAP1	7670
AGAP11	297
AGAP2	2790
AGAP3	850
AGAP4	322
AGAP6	329
AGAP9	297
AGBL3	2355
AGBL5	351
AGER	271
AGFG1	6726
AGFG2	3228
AGGF1	1980
AGK	2318
AGL	2371
AGMAT	1951
AGO1	10923
AGO2	11887
AGO3	16753
AGO4	4283
AGPAT1	1063
AGPAT2	608
AGPAT3	5197
AGPAT4	6569
AGPAT5	4111
AGPS	5638
AGRN	1132
AGTPBP1	569
AGTRAP	694
AHCTF1	1859
AHCY	768
AHCYL1	2061
AHCYL2	3165
AHDC1	671
AHI1	2111
AHNAK	841
AHNAK2	809
AHR	3082
AHRR	3455
AHSA1	222
AIDA	1879
AIF1L	2902
AIFM1	265
AIFM2	1910
AIG1	3199
AIMP1	1763
AIMP2	142
AIP	242
AJUBA	2265
AK1	1527
AK2	5194
AK3	3419
AK4	5967
AK6	1076
AK9	1214
AKAP1	1019
AKAP10	1923
AKAP11	4032
AKAP12	2834
AKAP13	4680
AKAP17A	923
AKAP3	230
AKAP5	4824
AKAP6	7835
AKAP7	1805
AKAP8	1528
AKAP8L	71
AKAP9	513
AKIP1	598
AKIRIN1	2009
AKIRIN2	736
AKNA	2897
AKR1A1	94
AKR1B1	377
AKR7A2	1516
AKR7L	1317
AKT1	990
AKT1S1	883
AKT2	3554
AKT3	5524
AKTIP	1371
ALAD	1987
ALAS1	146
ALCAM	2423
ALDH16A1	582
ALDH18A1	818
ALDH1A2	1772
ALDH1A3	1851
ALDH1B1	1357
ALDH1L1	229
ALDH1L2	4633
ALDH2	7955
ALDH3A2	2038
ALDH3B1	1336
ALDH4A1	1414
ALDH5A1	3494
ALDH6A1	3794
ALDH7A1	3123
ALDH8A1	1021
ALDH9A1	837
ALDOA	1994
ALDOC	405
ALG1	2497
ALG10	1385
ALG10B	8507
ALG11	5009
ALG12	3608
ALG13	2283
ALG14	8890
ALG2	1508
ALG3	212
ALG5	203
ALG6	1531
ALG8	253
ALG9	4325
ALKBH1	1407
ALKBH2	130
ALKBH3	263
ALKBH4	1150
ALKBH5	1556
ALKBH6	432
ALKBH7	276
ALKBH8	1930
ALMS1	306
ALOX12	330
ALOX12B	134
ALOX5	431
ALOXE3	726
ALPK1	1410
ALPK3	5020
ALPP	1093
ALS2	1583
ALS2CL	1988
ALX1	307
ALX3	862
ALX4	4413
ALYREF	295
AMACR	3318
AMBRA1	1037
AMD1	2095
AMDHD2	1853
AMER1	4761
AMFR	1456
AMH	115
AMHR2	479
AMIGO1	3252
AMIGO2	1726
AMIGO3	1121
AMMECR1	4333
AMMECR1L	3462
AMN1	1166
AMOT	4063
AMOTL1	5952
AMOTL2	2359
AMPD2	902
AMPD3	1694
AMPH	1121
AMT	761
AMY2B	33
AMZ2	194
ANAPC1	1650
ANAPC10	1028
ANAPC11	467
ANAPC13	885
ANAPC15	977
ANAPC16	2743
ANAPC2	157
ANAPC4	115
ANAPC5	234
ANAPC7	1243
ANG	177
ANGEL1	3218
ANGEL2	2858
ANGPTL2	1590
ANK1	2528
ANK2	2268
ANK3	3528
ANKDD1A	1502
ANKEF1	2640
ANKFY1	3960
ANKH	6396
ANKHD1	430
ANKIB1	2433
ANKLE1	1093
ANKLE2	1736
ANKMY1	1942
ANKMY2	980
ANKRA2	605
ANKRD1	765
ANKRD10	1096
ANKRD11	845
ANKRD12	4858
ANKRD13A	2208
ANKRD13B	1178
ANKRD13C	3717
ANKRD13D	151
ANKRD16	1075
ANKRD17	2854
ANKRD18A	680
ANKRD18B	0
ANKRD23	1636
ANKRD24	308
ANKRD26	1473
ANKRD27	1138
ANKRD28	3033
ANKRD29	2299
ANKRD33B	7702
ANKRD34A	827
ANKRD34B	1719
ANKRD36	424
ANKRD36B	1637
ANKRD36C	1634
ANKRD37	219
ANKRD39	310
ANKRD40	2798
ANKRD42	2536
ANKRD44	4017
ANKRD46	1782
ANKRD49	1045
ANKRD50	3465
ANKRD52	5334
ANKRD54	1087
ANKRD6	2829
ANKRD61	165
ANKRD63	3071
ANKRD9	5167
ANKS1A	2796
ANKS1B	1858
ANKS3	386
ANKS6	4509
ANKZF1	233
ANLN	1190
ANO10	1057
ANO5	3601
ANO6	3037
ANO7	1821
ANO8	293
ANOS1	4120
ANP32A	1544
ANP32B	510
ANP32D	561
ANP32E	2344
ANTKMT	32
ANTXR1	3841
ANTXR2	6282
ANXA1	285
ANXA11	4963
ANXA2	478
ANXA2R	384
ANXA3	329
ANXA4	1596
ANXA5	521
ANXA6	741
ANXA7	993
ANXA9	310
AOC2	358
AOC3	1837
AOPEP	1918
AP1AR	4700
AP1B1	1140
AP1G1	4055
AP1G2	181
AP1M1	11467
AP1S1	709
AP1S2	3447
AP1S3	3388
AP2A1	355
AP2A2	1619
AP2B1	2711
AP2M1	474
AP2S1	310
AP3B1	2379
AP3B2	3341
AP3D1	1184
AP3M1	3554
AP3M2	2121
AP3S1	719
AP3S2	4915
AP4B1	869
AP4E1	3232
AP4M1	2141
AP4S1	3414
AP5B1	3957
AP5M1	9857
AP5S1	4540
AP5Z1	3011
APAF1	2951
APBA1	3794
APBA2	1183
APBA3	253
APBB1	409
APBB2	6064
APBB3	316
APC	2112
APC2	3030
APCDD1	1910
APEH	628
APEX1	258
APEX2	1621
APH1A	1122
APH1B	3344
API5	2073
APIP	420
APLF	2139
APLN	2658
APLP1	355
APLP2	1362
APMAP	887
APOBEC3B	333
APOBEC3C	1964
APOBEC3D	960
APOBEC3F	3274
APOBEC3G	1626
APOC1	113
APOE	144
APOL2	1194
APOLD1	3812
APOO	251
APOOL	5636
APP	1119
APPBP2	4431
APPL1	3782
APPL2	1016
APRT	358
APTX	1077
AQP1	1887
AQP3	881
AQP4	4172
AQR	5009
AR	6777
ARAF	619
ARAP1	594
ARAP2	1902
ARAP3	547
ARC	808
ARCN1	2317
AREL1	2463
ARF1	1198
ARF3	3223
ARF4	848
ARF5	400
ARF6	2789
ARFGAP1	2164
ARFGAP2	1183
ARFGAP3	1084
ARFGEF1	1273
ARFGEF2	3493
ARFGEF3	8176
ARFIP1	2137
ARFIP2	2641
ARFRP1	2040
ARG2	784
ARGLU1	2322
ARHGAP1	1955
ARHGAP10	694
ARHGAP11A	2095
ARHGAP11B	64
ARHGAP12	2259
ARHGAP17	738
ARHGAP18	2378
ARHGAP19	3948
ARHGAP20	2334
ARHGAP21	797
ARHGAP22	1373
ARHGAP23	1412
ARHGAP24	1943
ARHGAP26	6564
ARHGAP27	1553
ARHGAP28	3558
ARHGAP29	4963
ARHGAP30	768
ARHGAP31	4449
ARHGAP32	3846
ARHGAP33	392
ARHGAP35	4387
ARHGAP39	1242
ARHGAP4	350
ARHGAP42	5139
ARHGAP44	1611
ARHGAP45	1824
ARHGAP5	4779
ARHGDIA	1154
ARHGDIG	195
ARHGEF1	347
ARHGEF10	1377
ARHGEF10L	494
ARHGEF11	1159
ARHGEF12	4859
ARHGEF16	525
ARHGEF17	1607
ARHGEF18	2179
ARHGEF2	1102
ARHGEF25	350
ARHGEF26	2494
ARHGEF28	979
